Salvation Army Emergency Assistance | The Salvation Army | https://www.salvationarmyusa.org | Individuals and families in financial crisis, incl. burial/funeral and other emergency needs | Varies by local corps (no set amount) | Rolling | faith/church | Contact your local corps office; assistance is discretionary and varies by location
Catholic Charities Emergency Assistance | Catholic Charities USA | https://www.catholiccharitiesusa.org | Low-income individuals/families in crisis, incl. funeral/burial, rent, utilities | Varies by local agency | Rolling | faith/church | Services delivered through 160+ local agencies; find local office for burial/funeral help
St. Vincent de Paul Emergency/Financial Assistance | Society of St. Vincent de Paul | https://www.svdpusa.org | Individuals/families facing hardship incl. funeral, utilities, food | Varies by local conference | Rolling | faith/church | Home-visit based local councils; request help through local Council or Conference
211 Emergency Assistance and Referral | United Way (211) | https://www.211.org | Anyone needing local help incl. burial, food, shelter, utility, disaster aid | Referral; varies by agency | Rolling | 211 | Dial 211 or use website; connects callers to local emergency assistance including funeral funds
Funeral Consumers Alliance Information | Funeral Consumers Alliance | https://www.funerals.org | Consumers seeking affordable funeral planning and rights information | Free educational resources | Rolling | national nonprofit | Not direct cash; helps lower funeral costs and avoid overcharging
Tragedy Assistance Program for Survivors (TAPS) | TAPS | https://www.taps.org | Families grieving death of a U.S. service member (military) | Support, resources, programs (no set amount) | Rolling | national nonprofit | Grief counseling, camps, and financial resources for military families
Donate Life America Family Support | Donate Life America | https://www.donatelife.net | Families of organ and tissue donors | Support and resources (in-kind) | Rolling | national nonprofit | OPOs may cover donation-related costs; DLA coordinates donor family support and awareness
American Red Cross Disaster Assistance | American Red Cross | https://www.redcross.org | Families affected by home fires and disasters | Emergency aid including funeral-related relief (varies) | Rolling | national nonprofit | Responds after home fires/disasters; call local chapter or 1-800-RED-CROSS
Dream Foundation Final Dreams | Dream Foundation | https://www.dreamfoundation.org | Terminally ill adults (18+) with a 12-month or less prognosis | End-of-life wishes, average ~$12,000 in in-kind services | Rolling | national nonprofit | Grants final dreams/wishes for terminally ill adults; focus is on joy, not burial costs
Jewish Federations Local Emergency Assistance | Jewish Federations of North America | https://www.jewishfederations.org | Jewish individuals/families in crisis incl. funeral and relief | Varies by local federation | Rolling | faith/church | Contact your local Jewish Federation for emergency or crisis assistance
California Victim Compensation Board - Funeral/Burial | CA Governor's Office of Victim Services | https://victims.ca.gov | California crime victims and their families (funeral expenses) | Up to ~$7,100 funeral/burial (varies) | Rolling | local-state gov | State crime victim compensation; file a claim within the statutory window; also covers related costs
New York Office of Victims Services - Funeral/Burial | NY Office of Victims Services | https://ovs.ny.gov | New York crime victims' families | Up to ~$6,000 funeral/burial (varies) | Rolling | local-state gov | State victim compensation; claims filed by victims or authorized representatives
Georgia Crime Victim Compensation - Burial | Georgia Criminal Justice Coordinating Council | https://cjcc.georgia.gov | Georgia crime victims' families | Up to ~$7,500 funeral/burial (varies) | Rolling | local-state gov | State victim compensation program; apply within statutory deadlines
Pennsylvania Victim Services - Funeral/Burial | PA Commission on Crime and Delinquency | https://www.pccd.pa.gov/VictimServices/Pages/default.aspx | Pennsylvania crime victims' families | Up to ~$7,000 funeral (varies) | Rolling | local-state gov | PCCD administers the PA Victims Compensation Assistance Program (VCAP)
Ohio Victims Compensation - Funeral | Ohio Attorney General | https://www.ohioattorneygeneral.gov/Individuals-and-Families/Victims | Ohio crime victims' families | Varies (funeral/burial up to state cap) | Rolling | local-state gov | Ohio Victims of Crime Compensation Program reimburses funeral and burial expenses
Texas Crime Victims Compensation | Texas Office of the Attorney General | https://www.texasattorneygeneral.gov/crime-victims | Texas crime victims' families | Up to ~$7,500 funeral/burial (varies) | Rolling | local-state gov | Texas Crime Victims' Compensation reimburses funeral/burial expenses for victims
Illinois Attorney General - Crime Victim Compensation | Illinois Attorney General | https://illinoisattorneygeneral.gov | Illinois crime victims' families | Varies (funeral/burial up to state cap) | Rolling | local-state gov | Illinois Crime Victim Compensation Program covers funeral/burial costs for victims
Michigan Attorney General - Crime Victim Compensation | Michigan Attorney General | https://www.michigan.gov/ag | Michigan crime victims' families | Varies (funeral/burial up to state cap) | Rolling | local-state gov | Michigan Crime Victim Compensation reimburses funeral/burial expenses
Missouri Victims of Crime Compensation - Funeral | Missouri Dept of Public Safety | https://www.dps.mo.gov | Missouri crime victims' families | Varies (funeral/burial up to state cap) | Rolling | local-state gov | Missouri Victims of Crime Compensation covers funeral/burial via DPS victim services
Kentucky Crime Victims Compensation - Funeral/Burial | KY Justice and Public Safety Cabinet | https://justice.ky.gov | Kentucky crime victims' families | Up to ~$10,000 funeral/burial (varies) | Rolling | local-state gov | Kentucky Crime Victims' Compensation Board reimburses funeral/burial expenses
Family Reach Financial Relief | Family Reach | https://www.familyreach.org | Cancer patients and their families | Grants for non-medical costs including some end-of-life needs (varies) | Rolling | national nonprofit | Financial relief for cancer-related hardship, not specifically burial
CancerCare Financial Assistance | CancerCare | https://www.cancercare.org | Cancer patients and caregivers | Limited financial assistance (varies) | Rolling | national nonprofit | Counseling plus some financial aid; check eligibility for end-of-life/funeral-type needs
Lutheran Disaster Response - Emergency Relief | ELCA (Evangelical Lutheran Church in America) | https://www.elca.org | Families affected by disaster incl. death and funeral needs | Varies by event | Rolling | faith/church | ELCA coordinates disaster response and long-term recovery; contact local synod
Concerns of Police Survivors (C.O.P.S.) | Concerns of Police Survivors | https://www.concernsofpolicesurvivors.org | Families of law enforcement officers killed in the line of duty | Support, resources, programs (no set amount) | Rolling | national nonprofit | Grief support and resources for surviving families of fallen officers
MISS Foundation | MISS Foundation | https://www.missfoundation.org | Families grieving the death of a child or infant | Grief support and resources (no direct funds) | Rolling | national nonprofit | Support for bereaved parents/families; connects to resources
Now I Lay Me Down to Sleep | Now I Lay Me Down to Sleep | https://www.nowilaymedowntosleep.org | Families with a dying infant | Free professional remembrance photography (in-kind) | Rolling | national nonprofit | Free heirloom photography for families facing infant loss
NICU Helping Hands - Angel Gowns Program | NICU Helping Hands | https://nicuhelpinghands.org | Families who lose an infant | Free angel gowns for burial (in-kind) | Rolling | national nonprofit | Volunteers turn wedding gowns into burial gowns for infants
American Legion Temporary Financial Assistance (TFA) | American Legion | https://www.legion.org | Minor children (under 18) of veterans in financial need | Up to ~$2,000 per child grant (varies) | Rolling | national nonprofit | Emergency grants for minor children of veterans incl. burial-related hardship
VFW Unmet Needs Program | Veterans of Foreign Wars | https://www.vfw.org | Post-9/11 veterans and their families | Up to ~$1,500 (varies) | Rolling | national nonprofit | Emergency financial grants for basic needs incl. burial of a veteran family member
Tunnel to Towers Foundation | Tunnel to Towers Foundation | https://t2t.org | Families of fallen first responders and military | Mortgage/funeral-type support (varies) | Rolling | national nonprofit | Supports surviving families of fallen first responders incl. funeral and mortgage relief
Special Operations Warrior Foundation | Special Operations Warrior Foundation | https://specialops.org | Families of fallen special operations members | College plus immediate family financial aid (varies) | Rolling | national nonprofit | Provides immediate financial assistance and education to survivors of fallen SOF
Fisher House Foundation | Fisher House Foundation | https://fisherhouse.org | Military and veteran families, incl. end-of-life situations | Free lodging near medical facilities (in-kind) | Rolling | national nonprofit | Free housing for military families during treatment and end-of-life care
Hospice Foundation of America | Hospice Foundation of America | https://hospicefoundation.org | Families and professionals facing end of life | Educational resources and support (no direct funds) | Rolling | national nonprofit | End-of-life education and resources; not direct burial funding
