Duke Energy Share the Light | Duke Energy | https://www.duke-energy.com/home/billing/assistance/share-the-light | Income-qualified Duke Energy electricity customers in OH, KY, IN, FL, NC, SC | Up to $300 annual heating or cooling credit | Rolling | corporate | Customer-assistance fund funded by customers and employees; credit applied to bill
Duke Energy bill assistance hub | Duke Energy | https://www.duke-energy.com/home/billing/assistance | Duke Energy residential customers facing hardship | Payment plans + referrals to community funds | Rolling | corporate | Central portal for energy assistance and payment arrangements
PSE&G Customer Assistance Programs | PSEG | https://www.pseg.com/family-community/assistance-for-customers | NJ PSE&G electric and gas customers, income-qualified | Varies (payment plans, arrears help, LIHEAP referral) | Rolling | corporate | NJ's largest utility; help with bills and grants via partners
AEP Ohio Neighbor to Neighbor | American Electric Power | https://www.aepohio.com/community/caring/neighbor-to-neighbor | Income-qualified AEP Ohio customers in arrears | Grants up to several hundred dollars | Rolling | corporate | Utility-funded crisis assistance; paid directly to utility
AEP Appalachian Neighbor to Neighbor | American Electric Power | https://www.appalachianpower.com/community/caring/neighbor-to-neighbor | Income-qualified Appalachian Power (WV/VA) customers | Bill credit grants | Rolling | corporate | Utility hardship fund for electric customers in arrears
AEP Ohio Winter Help (Winter Heating/Winter Reconnect) | American Electric Power | https://www.aepohio.com/account/bills/pay/assistance/winter-bill-help | AEP Ohio customers facing winter disconnection | Winter heating bill help / reconnection | Rolling | corporate | Seasonal crisis fund to prevent winter shutoffs
PSO Oklahoma Bill Assistance | Public Service Company of Oklahoma | https://www.psoklahoma.com/account/bills/pay/assistance/ | Income-qualified PSO electric customers | Varies (grants + payment plans) | Rolling | corporate | Utility assistance and referral portal for Oklahoma customers
Dominion Energy Virginia Energy Assistance | Dominion Energy | https://www.dominionenergy.com/virginia/paying-my-bill/energy-assistance | Virginia Dominion electric/gas customers | Bill credits, payment plans, referrals | Rolling | corporate | Statewide portal linking to LIHEAP and energy funds
Dominion Energy North Carolina Energy Assistance | Dominion Energy | https://www.dominionenergy.com/north-carolina/paying-my-bill/energy-assistance | NC Dominion customers | Varies | Rolling | corporate | Energy assistance and low-income program info for NC
Xcel Energy HeatShare | Xcel Energy | https://www.xcelenergy.com/billing_and_payment/understanding_your_bill/energy_assistance_options/heatshare | Xcel natural gas customers in CO/MN/NM/WI (CO primary) | Grants to cover heating bills | Rolling | corporate | Xcel-administered fund for gas heating assistance
Xcel Energy Energy Assistance hub | Xcel Energy | https://www.xcelenergy.com/billing_and_payment/understanding_your_bill/energy_assistance_options/energy_assistance | Xcel customers (CO and other states) | Varies (payment plans, funds, weatherization) | Rolling | corporate | Colorado's main utility; central energy assistance portal
Xcel Income-Qualified Weatherization | Xcel Energy | https://www.xcelenergy.com/billing_and_payment/understanding_your_bill/energy_assistance_options/income-qualified_weatherization_program | Income-qualified Xcel customers | Free home energy efficiency/weatherization upgrades | Rolling | corporate | Low-income weatherization funded by Xcel
Xcel PowerOn / Gas Affordability Program | Xcel Energy | https://www.xcelenergy.com/billing_and_payment/understanding_your_bill/energy_assistance_options/poweron_and_gas_affordability_program | Xcel CO electric and gas customers below income threshold | Monthly discounted bill / bill credit | Rolling | corporate | Ongoing discount program for low-income Xcel customers
Xcel Income-Qualified Home Energy Savings | Xcel Energy | https://www.xcelenergy.com/billing_and_payment/understanding_your_bill/energy_assistance_options/income-qualified_home_energy_savings | Income-qualified Xcel customers | Discounts on energy-saving equipment and audits | Rolling | corporate | Efficiency support for qualifying Xcel households
Con Edison Energy Affordability Program | Con Edison | https://www.coned.com/en/accounts-billing/payment-plans-assistance/energy-affordability-program | NYC/Westchester ConEd electric and gas customers at/below 60% of state median | Discount on energy bills | Rolling | corporate | NY's largest utility discount program; automatic enrollment for some
Con Edison Payment Plans & Assistance | Con Edison | https://www.coned.com/en/accounts-billing/payment-plans-assistance | ConEd customers behind on bills | Flexible payment plans, arrears management | Rolling | corporate | Avoids disconnection; income-qualified options
PG&E Financial Assistance Programs | Pacific Gas & Electric | https://www.pge.com/en/account/billing-and-assistance/financial-assistance.html | PG&E CA electric/gas customers | Discounts, payment plans, grants | Rolling | corporate | Central CA utility assistance hub
PG&E CARE Program (California Alternate Rates for Energy) | PG&E | https://www.pge.com/en/account/billing-and-assistance/financial-assistance/california-alternate-rates-for-energy-program.html | CA PG&E customers at/below 200% of federal poverty | 20%+ monthly discount on energy bill | Rolling | corporate | State-mandated CARE discount for low-income households
We Energies Payment & Bill Assistance | We Energies | https://www.we-energies.com/payment-bill/assistance | WI/Upper MI We Energies customers | Bill assistance programs and payment options | Rolling | corporate | Wisconsin utility hardship help
Arizona Public Service Assistance Programs | APS | https://www.aps.com/en/Residential/Account/Assistance-Programs | APS AZ residential customers, income-qualified | Payment assistance, budget billing, referrals | Rolling | corporate | Arizona utility energy assistance portal
National Grid Energy Assistance (Massachusetts) | National Grid | https://www.nationalgridus.com/MA-Home/Energy-Assistance | MA National Grid gas/electric customers | Payment plans, arrears, referrals | Rolling | corporate | New England utility hardship programs
SoCalGas Assistance | Southern California Gas | https://www.socalgas.com/assistance | SoCalGas CA gas customers | Discounts (CARE), payment plans | Rolling | corporate | California gas utility assistance programs
Southern California Edison Assistance | SCE | https://www.sce.com/assistance | SCE CA electric customers | Discounts (CARE/FERA), payment arrangements | Rolling | corporate | California electric utility assistance
CenterPoint Energy Assistance | CenterPoint Energy | https://www.centerpointenergy.com/assistance | CenterPoint TX/IN/OH/MN customers | Payment plans, discounts, referrals | Rolling | corporate | Multi-state utility hardship programs
Atmos Energy Assistance | Atmos Energy | https://www.atmosenergy.com/assistance | Atmos natural gas customers (TX and others) | Payment assistance, budget plans | Rolling | corporate | Natural gas utility hardship programs
PECO Energy Assistance | PECO (Exelon) | https://www.peco.com/assistance | PECO PA electric/gas customers | Bill discounts, payment plans | Rolling | corporate | Philadelphia-area utility assistance
Pacific Power Assistance | Pacific Power | https://www.pacificpower.net/assistance | Pacific Power OR/WA/CA/ID customers | Payment plans, bill assistance | Rolling | corporate | West Coast utility hardship programs
NV Energy Assistance | NV Energy | https://www.nvenergy.com/assistance | NV Energy NV customers | Payment plans, bill help, referrals | Rolling | corporate | Nevada utility assistance
Delmarva Power Assistance | Delmarva Power | https://www.delmarva.com/assistance | Delmarva (DE/MD) electric/gas customers | Discounts, payment plans | Rolling | corporate | Exelon utility hardship programs
Pepco Assistance | Pepco | https://www.pepco.com/assistance | Pepco DC/MD electric customers | Payment plans, bill help | Rolling | corporate | Washington DC metro utility assistance
FirstEnergy Assistance Programs | FirstEnergy | https://www.firstenergycorp.com/assistance | FirstEnergy OH/PA/NJ/WV/MD customers | Arrears help, payment plans | Rolling | corporate | Multistate utility assistance portal
DTE Energy Bill Help & Assistance | DTE Energy | https://www.dteenergy.com/help | DTE MI electric/gas customers | Payment plans, grants, weatherization | Rolling | corporate | Michigan's largest utility assistance portal
Operation Fuel | Operation Fuel | https://www.operationfuel.org/ | CT residents with energy crisis, income-qualified | One-time grants toward heating/utility bill | Rolling | national nonprofit | Nonprofit emergency energy assistance; distributes via community agencies
Energy Outreach Colorado | Energy Outreach Colorado | https://www.energyoutreach.org/ | Colorado residents, income-qualified | One-time bill payment help, weatherization | Rolling | national nonprofit | CO nonprofit raising funds to help families heat their homes
Energy Outreach Colorado - Get Help | Energy Outreach Colorado | https://www.energyoutreach.org/get-help | CO residents in energy crisis | Bill assistance and program navigation | Rolling | national nonprofit | Direct application/entry point for CO energy help
Community Action Partnership (national) | Community Action Partnership | https://www.communityactionpartnership.com/ | Low-income individuals (finds local Community Action Agency) | Utility assistance via local CAA network | Rolling | national nonprofit | Finder for local agencies that run energy/utility programs
EveryoneOn | EveryoneOn | https://www.everyoneon.org/ | Low-income households nationwide | Affordable internet and devices | Rolling | national nonprofit | Internet connectivity assistance for low-income families
United Way 211 | 211 (United Way) | https://www.211.org/ | Anyone seeking help (utility/energy crisis) | Referrals to local energy assistance | Rolling | 211 | Dial 211 for local utility and energy programs
Project Care | Project Care | https://www.projectcare.org/ | Households with serious illness/children/elderly with utility shutoff risk | Utility bill grants | Rolling | national nonprofit | Medical/hardship energy assistance (NJ/PA/NY/IL focus)
Need Help Paying Bills | Need Help Paying Bills | https://www.needhelppayingbills.com/ | Low-income individuals nationwide | Directory of utility, rent, food assistance | Rolling | national nonprofit | Free directory of emergency assistance programs
Minnesota Energy Assistance (LIHEAP-state portal) | Minnesota Department of Commerce | https://mn.gov/commerce/industries/energy/energy-assistance/ | Minnesota residents, income-qualified | Heating bill payment assistance | Rolling | local-state gov | State-administered energy assistance application portal
Minnesota Energy Assistance Programs | Minnesota Department of Commerce | https://mn.gov/commerce/energy/consumers/energy-assistance-programs/ | Minnesota consumers | Overview of energy assistance and weatherization | Rolling | local-state gov | Consumer-facing guide to MN energy programs
