Foster Success (IN) - College & Career support | Foster Success | https://fostersuccess.org/ | Indiana current/former foster youth (ages 14-23) | Varies - scholarships, financial coaching | Rolling | national nonprofit | Nonprofit supporting foster youth aging out in Indiana with college/career help, credit building, Opportunity Passport
Foster Success (IN) - Mentoring | Foster Success | https://fostersuccess.org/mentoring/ | Indiana current/former foster youth teens | Free 1:1 mentoring program | Rolling | national nonprofit | Matches former foster youth mentors with youth aging out of care
Foster Success (IN) - Emergency Fund | Foster Success | https://fostersuccess.org/emergency-fund/ | Indiana foster youth/alumni in urgent financial need | Emergency cash assistance | Rolling | national nonprofit | Quick grants for basic needs (rent, utilities, car repairs) for youth aging out
Foster Success (IN) - Programs overview | Foster Success | https://fostersuccess.org/programs/ | Indiana foster youth ages 14-23 | Varies by program | Rolling | national nonprofit | Hub of scholarships, coaching, Opportunity Passport financial program
Together We Rise - Foster Care Scholarships | Together We Rise | https://togetherwerise.org/together/ | US foster youth & former foster youth pursuing higher education/trades | Scholarship + wrap-around mentorship | Rolling | national nonprofit | Scholarships and career-path mentorship for youth aging out of care
Youth Villages - LifeSet | Youth Villages | https://www.youthvillages.org/lifeset/ | Young adults turning 18 in foster care (many states) | Intensive in-home transition support + savings match | Rolling | national nonprofit | Evidence-based bridge program: housing, education, employment, weekly specialist visits
Treehouse - Education Support (WA) | Treehouse | https://www.treehouseforkids.org/what-we-do/education/ | Washington foster youth in school | Tutoring, college planning, graduation support | Rolling | national nonprofit | Helps WA foster youth graduate and continue to college; partners with schools
Covenant House - Transitional Housing | Covenant House | https://www.covenanthouse.org/ | Homeless/at-risk youth up to ~24, incl. foster care alumni | Emergency shelter + transitional housing + services | Rolling | national nonprofit | Faith-based org offering housing and life-skills to youth aging out of care
Seita Scholars Program | Western Michigan University | https://wmich.edu/seita | Former foster youth admitted to WMU | ~40% of university attendance costs for 5 years | Annual | community foundation | Scholarship + campus coaching, housing, career prep for foster care alumni
A Home Within - Foster Youth Therapy | A Home Within | https://www.ahomewithin.org/ | Current & former foster youth nationwide | Free, open-ended individual psychotherapy | Rolling | national nonprofit | Volunteer therapists provide free long-term therapy to foster youth/alumni
You Gotta Believe | You Gotta Believe (YGB) | https://yougottabelieve.org/ | Youth in foster care (NYC & nationwide) seeking permanency | Adoption/permanency support services | Rolling | national nonprofit | Matches teens aging out with committed adoptive/permanent families
NFPA Youth Scholarships | National Foster Parent Association | https://nfpaonline.org/scholarships/ | High school foster/kinship/adoptive youth graduating or getting GED; NFPA member sponsor | $500 per award, multiple categories | Annual | civic club | $500 scholarships for graduating foster, kinship, adoptive, and resource-family youth
Foster Forward (RI) | Foster Forward | https://fosterforward.org/ | Current/former foster youth in Rhode Island | ASPIRE, mentoring, housing help | Rolling | community foundation | RI nonprofit empowering foster youth with mentoring (Real Connections) and transition programs
Dave Thomas Foundation - Wendy's Wonderful Kids | Dave Thomas Foundation for Adoption | https://www.davethomasfoundation.org/wendys-wonderful-kids/ | Children/teens in foster care waiting to be adopted | Funds adoption recruiters (no direct cash to youth) | Rolling | national nonprofit | Helps older foster youth find permanent families instead of aging out
Raise the Future | Raise the Future | https://raisethefuture.org/ | Foster/adoptive youth & families in CO, NV, UT | Mentoring, family support, adoption classes | Rolling | national nonprofit | Mentoring programs pairing trained adults with youth in foster care
College Success Foundation (WA) | College Success Foundation | https://www.collegesuccessfoundation.org/ | Low-income WA students incl. foster youth | Scholarships + financial aid coaching | Rolling | national nonprofit | Scholarships (e.g., Sunshine Brooks) and college prep for WA foster youth
Foster Care Alumni of America | Foster Care Alumni of America | https://fostercarealumni.org/ | Former foster youth / foster care alumni | Alumni network, reunions, advocacy | Rolling | national nonprofit | Connects the foster care alumni community; policy & practice transformation
First Star - Foster Youth College Prep | First Star | https://firststar.org/ | High school foster youth (grades 9-12) | Residential academy + college readiness + peer mentors | Annual | national nonprofit | 4-summer immersive college prep academies on university campuses for foster youth
Scholarship America - Student Scholarships | Scholarship America | https://www.scholarshipamerica.org/students/ | US students incl. foster/former foster youth | Varies by program (avg $2,000-$5,000) | Rolling | national nonprofit | Nation's leading scholarship administrator; Dream Award and many programs open to foster youth
Foster Youth in Action | Foster Youth in Action | https://fosteryouthaction.org/ | Current & former foster youth advocates (national) | Leadership training, network grants | Rolling | national nonprofit | Supports youth-led advocacy orgs; merged with California Youth Connection
The Hope Fund | The Hope Fund | https://www.thehopefund.com/what-we-do/ | Foster care children & aging-out youth | Emergency funds & needs-based support | Rolling | community foundation | Provides emergency funds and enrichment for foster youth and those aging out
Texas Tuition Exemption for Foster Youth | Texas Higher Education Coordinating Board | https://www.highered.texas.gov/state-financial-aid-programs/foster-care/ | Current/former DFPS foster youth (or adopted from DFPS) in Texas | Free tuition at state-supported TX colleges | Rolling | local-state gov | State tuition exemption for foster youth/alumni attending Texas public institutions
Florida Foster Care Tuition Waiver | Florida Dept of Education | https://www.floridastudentfinancialaidsg.org/stateprograms/state-foster-care | Florida foster youth, formerly in foster care, or adopted from foster care | Tuition & fee waiver at FL public colleges | Rolling | local-state gov | State exemption covering tuition/fees for foster youth aging out in Florida
Fostering Hope | Fostering Hope | https://www.fosteringhope.org/ | Foster/kinship families & youth (faith-based, multi-state) | Support, training, enrichment for youth | Rolling | faith/church | Church-based network equipping volunteers to support foster youth and families
