# Shinnslist — Long-Tail: Car Repair / Vehicle / Transportation Assistance for Low-Income Individuals & Families
# Prepared: 2026-08-15 · Method: named national charities + faith orgs (Catholic Charities/SVdP/Salvation Army/Lutheran) + Goodwill/Wheels-to-Work + CAA network + nonprofit transportation. NOT federal.gov.
# URL verification: every URL curl-checked HTTP 200 (403 = live but Cloudflare-bot-walled, verified real org; CC San Francisco had one transient 503, returns 200). All currently open / rolling.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT/WHAT_THEY_GIVE | DEADLINE_OR_ROLLING | SOURCE_TYPE | GEO_SCOPE | ONE-LINE_NOTES

Free Charity Cars / 1-800-Charity Cars | 1-800-Charity Cars (national 501c3) | https://www.freecharitycars.org | Low-income individuals/families who cannot afford a vehicle | Free donated car transferred at no cost | Rolling | National charity | national | Nationwide donated-vehicle program; apply online; small processing fee may apply
Vehicles for Change | Vehicles for Change (501c3) | https://www.vehiclesforchange.org | Low-income working residents of MD/DC/Northern VA | Affordable donated cars + subsidized ownership & repair allowance | Rolling | National/regional charity | regional (MD/DC/NOVA) | Also runs auto-repair job-training; car repair support for eligible owners
Good News Garage | Good News Garage (Lutheran Social Services of New England) | https://www.goodnewsgarage.org | Low-income VT/NH/MA families needing a car for work | Donated cars at low cost after repair | Rolling | Regional charity / faith | regional (VT/New England) | Vermont-based; repairs donated cars, transfers to eligible families
Wheels4Hope | Wheels4Hope (501c3) | https://www.wheels4hope.org | Low-income working families in NC (Triad, Charlotte, Raleigh) | Donated cars sold affordably | Rolling | Regional charity | regional (NC) | NC donated-car program; income & employment verified
Cars Helping People | Cars Helping People (Utah 501c3) | https://carshelpingpeople.org | Low-income Utah residents with valid license/driving need | Free donated vehicles | Rolling | Regional charity | state (Utah) | Utah car-donation charity; no-cost vehicle transfers
Wheels of Success | Wheels of Success (Tampa FL 501c3) | https://wheelsofsuccess.org | Working-poor families in FL (Hillsborough/Pinellas/Pasco) | Donated cars + repair grants | Rolling | Regional charity | local (Tampa Bay FL) | Provides reliable cars so clients can get/keep employment
Operation Homefront | Operation Homefront (national 501c3) | https://www.operationhomefront.org | Military/veteran families facing financial hardship | Car repair / auto assistance + transportation grants | Rolling | National charity | national (military) | Serves active-duty and veteran families
American Cancer Society - Road to Recovery | American Cancer Society | https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html | Cancer patients who cannot drive or get rides | Free rides to/from treatment | Rolling | National charity | national | Volunteer-driver transportation program
Catholic Charities USA | Catholic Charities USA (network) | https://www.catholiccharitiesusa.org | Low-income individuals/families | Emergency car repair & transportation assistance via local agencies | Rolling | Faith org | national | National network; local offices provide car/transport help
Catholic Charities DC | Catholic Charities of the Archdiocese of Washington | https://www.catholiccharitiesdc.org | Low-income DC-area residents | Emergency financial assistance incl. car repair/transportation | Rolling | Faith org | local (DC metro) | Social-services agency with emergency assistance
Catholic Charities San Francisco | Catholic Charities SF | https://www.catholiccharitiessf.org | Low-income Bay Area residents | Emergency car repair/transportation help | Rolling | Faith org | local (SF Bay Area) | Emergency assistance incl. transportation
Catholic Charities Oklahoma | Catholic Charities of Oklahoma | https://www.catholiccharitiesok.org | Low-income Oklahomans | Emergency assistance incl. car repair | Rolling | Faith org | state (OK) | Local chapter of national network
St Vincent de Paul USA | Society of St Vincent de Paul (national) | https://www.svdpusa.org | Low-income individuals/families | Car repair vouchers/payment assistance via local councils | Rolling | Faith org | national | Local SVdP councils help pay for car repairs
