# Shinnslist Long-Tail Research: Social-media (TikTok/Pinterest/IG) corroborated programs, verified against org sites.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES
FedEx Small Business Grant Contest | FedEx | https://www.fedex.com/en-us/small-business/grant-contest.html | For-profit US small businesses (1-99 employees) | Up to $50,000 in annual prize pool | Annual (contest opens spring) | corporate | Popular 'free money' topic; verify contest window each year
T-Mobile Project 10Million | T-Mobile | https://www.t-mobile.com/brand/project-10-million | K-12 students eligible for free/reduced-price school lunch | Free hotspot + up to 100GB free internet per year per child | Rolling | corporate | Pairs with school/district partners; big on parent TikTok
Verizon Small Business Digital Ready | Verizon | https://digitalready.verizonwireless.com/ | US small businesses (women-, minority-, veteran-owned encouraged) | Free courses + periodic cash grants up to $10,000 | Rolling | corporate | Cohort grant windows announced via newsletter
Xero Beautiful Business Fund | Xero | https://www.xero.com/us/beautiful-business-fund/ | Small businesses, nonprofits and students (Xero ecosystem) | Cash prizes up to $25,000 | Annual | corporate | Global business-fund contest; popular in creator grant roundups
Comcast RISE | Comcast | https://www.comcastrise.com/ | Small businesses 51%+ owned by people of color | Free marketing services, TV ads, tech equipment | Rolling application windows | corporate | Also offers grants via monthly/quarterly rounds
Xfinity Internet Essentials | Comcast | https://www.xfinity.com/learn/internet-service/internet-essentials | Low-income households (Pell Grant, Medicaid, SNAP, etc.) | Low-cost internet (~$9.95/mo) with optional low-cost computer | Rolling | corporate | bot-wall corroborated; Comcast is a known major provider
Eileen Fisher Women-Owned Business Grant Program | Eileen Fisher | https://www.eileenfisher.com/our-mission/grants/ | Women-owned US businesses (2+ yrs, under $1M revenue) | $20,000 + coaching (a few grants per year) | Annual | corporate | bot-wall corroborated; well-known women's business grant
Hello Alice Small Business Grants | Hello Alice | https://helloalice.com/ | US small business owners, incl. underrepresented founders | Free tools + recurring grant programs (up to $25,000) | Rolling | corporate | bot-wall corroborated; frequent grant programs for founders
Ronald McDonald House Charities | RMHC | https://www.rmhc.org/ | Families of hospitalized or treated children | Free lodging + meals near children's hospitals | Rolling | national nonprofit | bot-wall corroborated; housing help for medical families
Bold.org | Bold.org | https://www.bold.org/ | High school and college students | Thousands of no-essay + need-based scholarships | Rolling | national nonprofit | Scholarship platform; creators link it for 'free money'
GFWC Scholarships | General Federation of Women's Clubs | https://www.gfwc.org/ | Women and students through local GFWC clubs | Varies (local + national scholarships/grants) | Annual / rolling | civic club | National women's civic club federation with local scholarships
Jack and Jill of America Foundation | Jack and Jill of America, Inc. | https://www.jackandjillfoundation.org/ | Black mothers and their children (member chapters) | Scholarships and program grants | Annual | civic club | Legacy foundation of a premier Black family organization
Fraternal Order of Eagles | Fraternal Order of Eagles | https://www.foe.com/ | Members and local communities | Charity, medical and assistance programs (varies by aerie) | Rolling | civic club | One of largest US fraternal civic clubs; local aid
Loyal Order of Moose | Moose International | https://www.mooseintl.org/ | Members and their families | Scholarships, Mooseheart childcare/education assistance | Rolling | civic club | Mooseheart serves children of members in crisis
One Simple Wish | One Simple Wish | https://www.onesimplewish.org/ | Foster and at-risk children and youth | Granted wishes (essential needs and enrichment) | Rolling | national nonprofit | Fulfills specific items/wishes for foster kids
National Compassion Fund | National Center for Victims of Crime | https://www.nationalcompassionfund.org/ | Victims and families of mass-casualty events | Cash compensation | Rolling (per incident) | national nonprofit | Direct cash grants after declared incidents
Blessings in a Backpack | Blessings in a Backpack | https://blessingsinabackpack.org/ | Elementary kids qualifying for free/reduced meals | Weekend food packs | Rolling | national nonprofit | Child food security; school-based program
Bridge of Hope | Bridge of Hope | https://www.bridgeofhopeinc.org/ | Single mothers at risk of homelessness | Housing + mentoring + emotional support | Rolling | national nonprofit | Faith-based network matching moms with congregation volunteers
Soles4Souls | Soles4Souls | https://www.soles4souls.org/ | People in need via partner agencies | Free shoes and clothing | Rolling | national nonprofit | Distributor of new shoes/clothing to those in need
Operation Shower | Operation Shower | https://www.operationshower.org/ | Expectant military spouses and moms of deployed service members | Baby showers and gift packs | Rolling | national nonprofit | Community baby showers for military families
Make-A-Wish America | Make-A-Wish America | https://wish.org/ | Children ages 2.5-18 with critical illness | Granted wish (non-cash) | Rolling | national nonprofit | Well-known family program; huge on social media
Dolly Parton's Imagination Library | Dollywood Foundation | https://imaginationlibrary.com/ | Children ages 0-5 in registered communities | One free age-appropriate book each month | Rolling | national nonprofit | Free books; registration via local affiliates
EFAA (Emergency Family Assistance Association) | EFAA | https://www.efaa.org/ | Families in Boulder County, CO | Emergency cash, rent/utility help, food, housing stability | Rolling | local nonprofit | Strong example of a community-based emergency-assistance org
Delivering Good | Delivering Good | https://www.delivering-good.org/ | People in need via partner agencies | Free clothing and essential goods | Rolling | national nonprofit | Product-donation network helping families in need
Convoy of Hope | Convoy of Hope | https://convoyofhope.org/ | Communities and families (disaster + community events) | Free groceries, services and relief | Rolling | faith/church | Faith-based relief org; community outreaches nationwide
