# LONG-TAIL INDIVIDUAL ARTIST GRANTS, FELLOWSHIPS & RESIDENCIES — swept 2026-08-15
# Shinnslist research. All URLs verified HTTP 200 (or WAF-live / known-live) at sweep time.
# Source: primary org sites via curl + browser. Re-verify before re-reporting (liveness/deadlines drift).
# Legend: source_type = PRIMARY (org's own page) | WAF-LIVE (Cloudflare bot-wall, org confirmed live via browser/org's other pages)
# CATEGORY: VISUAL / WRITERS / MUSIC / RESIDENCY / EMERGENCY / STATE

NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | CATEGORY | NOTES

# ------------------------------ VISUAL ARTISTS ------------------------------
Pollock-Krasner Foundation Grant | Pollock-Krasner Foundation | https://www.pkf.org/application | Individual visual artists of merit; painters, sculptors, works on paper; serious, sustained, confirmed career; professional need | Variable (avg $10k-$30k; up to $50k documented) | ROLLING year-round | PRIMARY | VISUAL | No discipline-specific or geographic limits; supports travel, studio, materials, emergency needs. Most-referenced individual visual-art grant.
Adolph & Esther Gottlieb Individual Support Grant | Adolph & Esther Gottlieb Foundation | https://www.gottliebfoundation.org/individual-support-grant-1 | Individual painters & sculptors in mature phase (20+ yrs) with financial need | Up to $25,000 | Annual (applications late spring; check page) | PRIMARY | VISUAL | Non-matching; artists in financial need who have dedicated at least 20 years to art.
Adolph & Esther Gottlieb Emergency Grant | Adolph & Esther Gottlieb Foundation | https://www.gottliebfoundation.org/emergency-grant | Individual painters/sculptors in sudden, dire financial need (fire, flood, medical) | Up to $15,000 | ROLLING (emergency) | PRIMARY | EMERGENCY | Rapid-response relief for artists with 10+ yrs practice; not for project/ongoing support.
Joan Mitchell Fellowship | Joan Mitchell Foundation | https://www.joanmitchellfoundation.org/joan-mitchell-fellowship | Individual painters & sculptors (early/mid-career US); open nomination | $60,000 over 5 years ($12k/yr) | Annual (nomination) | PRIMARY | VISUAL | $60k no-strings support incl. dedicated line for caregiving. See also CALL (Creating a Living Legacy) program.
NYFA Artists' Fellowship | New York Foundation for the Arts (NYFA) | https://www.nyfa.org/artists-fellowships | Individual artists in NY State (any discipline) | $10,000 | Annual (applications ~Jan-Feb) | WAF-LIVE | VISUAL | Flagship individual fellowship; Cloudflare-walled but actively running (recipients current on site).
Foundation for Contemporary Arts Emergency Grants | Foundation for Contemporary Arts | https://foundationforcontemporaryarts.org/grants/emergency-grants/ | Individual artists (visual, music/sound, performance/theater, poetry) facing sudden urgent financial hardship | Up to $3,000 (avg ~$2,200) | ROLLING (urgent) | PRIMARY | EMERGENCY | Same-day decisions; for unexpected need (medical, disaster, theft) not ongoing project funding.
CERF+ Emergency Relief Grants | Craft Emergency Relief Fund (CERF+) | https://cerfplus.org/grants/emergency-relief-grant/ | Individual craft artists (US) with professional practice affected by emergency/medical/career threat | Up to $10,000 | *** SUSPENDED FY2026 — check status *** | PRIMARY | EMERGENCY | SUSPENDED all grantmaking for remainder of FY2026 per site banner. Listed for monitoring/reopen.

# ------------------------------ WRITERS ------------------------------
Whiting Creative Nonfiction Grant | Whiting Foundation | https://www.whiting.org/writers/creative-nonfiction-grant/about | Individual nonfiction writers (US) with book-length work-in-progress; 8-10 yrs professional track | $40,000 | Annual (2026 deadline CLOSED; check for next cycle) | PRIMARY | WRITERS | Supports research-heavy nonfiction. 10 grants/yr. Distinct from Whiting Award (nomination-only).
Authors League Fund Emergency Grants | Authors League Fund | https://www.authorsleaguefund.org/ | Professional writers (authors, graphic novelists, journalists, poets, dramatists, librettists) in financial need (medical, income loss, eviction) | Varies (one-time financial aid) | ROLLING | PRIMARY | EMERGENCY | Writers-helping-writers since 1917; confidential grants to pay essential bills.
NEA Literature Fellowships | National Endowment for the Arts | https://www.arts.gov/grants | Individual writers (prose, poetry, translation); US citizens/residents | $25,000 | Annual (NOT currently open; guidelines per-cycle) | WAF-LIVE | WRITERS | Not open at sweep time (GAP grants page live; lit fellowship guidelines update per cycle). Recheck annually.
PEN America Literary Awards | PEN America | https://pen.org/literary-awards/ | Individual writers/translators (submitted published books) | $5k-$50k by category | Annual (per-award deadlines) | WAF-LIVE | WRITERS | PEN America in 2026 restructure/flux — verify current status before listing. Multiple book awards.
Key West Literary Seminar Fellowships | Key West Literary Seminar | https://www.keywestliteraryseminar.org/ | Early-career writers (poetry, fiction, creative nonfiction) | ~$1,000 + travel/workshop | Annual | PRIMARY | WRITERS | Competitive fellowships for emerging writers attending seminar.

# ------------------------------ RESIDENCIES (open to individual artists) ------------------------------
MacDowell Fellowship (Residency) | MacDowell | https://www.macdowell.org/apply | Individual artists in 8 disciplines (visual, literary, music, architecture, film, etc.); need-based financial aid | Free residency + room/board + studio; need-based stipends | Sep 10, 2026 (Spring/Summer 2027) / Feb 10, 2027 | PRIMARY | RESIDENCY | America's leading artist residency; ~300 residencies/yr; no application fee.
Yaddo Artist Residency | Yaddo | https://yaddo.org/apply/ | Individual artists (writers, visual, composers, choreographers) | Free residency + meals; $35 application fee | July 1 (Summer cycle) / Dec 20 (Winter cycle) | PRIMARY | RESIDENCY | 4-week residencies at Saratoga Springs; rolling-style seasonal deadlines.
Millay Arts Core Residency | Millay Arts | https://www.millayarts.org/residencies/core-residency/ | Individual artists (writers, visual, composers) | Free residency; $35 app fee | Seasonal | PRIMARY | RESIDENCY | 4-8 wk residencies; need-based financial aid.
Ragdale Foundation Fellowship | Ragdale | https://www.ragdale.org/fellowships | Individual artists (writers, visual, musicians, composers) | Free residency | Seasonal (per-discipline deadlines) | PRIMARY | RESIDENCY | Lake Forest IL; 2-6 wk residencies.
Headlands Center for the Arts Residency | Headlands Center for the Arts | https://www.headlands.org/apply/ | Individual artists (all disciplines) | Residency + $500/mo stipend + travel | Annual | PRIMARY | RESIDENCY | Marin Headlands, CA; open studio + community.
Bemis Center Residency | Bemis Center for Contemporary Arts | https://bemiscenter.org/residency/ | Individual visual artists | Free residency + $1,000/mo stipend + travel | Annual (fall app cycle) | PRIMARY | RESIDENCY | Omaha NE; 1-3 month residencies; open to international.
Ucross Residency | Ucross Foundation | https://www.ucross.org/apply/ | Individual artists (writers, visual, composers) | Free residency + private studio + meals; $30 app fee | Semi-annual (per-season deadlines) | WAF-LIVE | RESIDENCY | Wyoming ranch residency; high selectivity.
Loghaven Artist Residency | Loghaven | https://loghaven.org/apply | Individual artists (all disciplines) | Free residency + stipend | Annual | PRIMARY | RESIDENCY | Knoxville TN; 6-10 wk residencies.
Vermont Studio Center Residency | Vermont Studio Center | https://www.vermontstudiocenter.org/apply | Individual visual artists & writers | Residency + room/board (fee-based; scholarships/financial aid available) | Monthly/seasonal | PRIMARY | RESIDENCY | Largest US residency; rolling-ish deadlines.
Sitka Center for Art & Ecology | Sitka Center | https://sitkacenter.org/ | Individual artists & writers (nature-connected work) | Residency + stipend | Annual | PRIMARY | RESIDENCY | Oregon coast; residencies + workshops.

# ------------------------------ MUSICIANS / COMPOSERS ------------------------------
New Music USA Small Grant Fund | New Music USA | https://newmusicusa.org/program/small-grant-fund/ | Individual musicians/composers (US); small projects | Up to $3,000 | Periodic cycles | PRIMARY | MUSIC | Streamlined small-grants for recording, performance, short projects.
New Music Creator Fund | New Music USA | https://newmusicusa.org/program/new-music-creator-fund/ | Individual composers/music creators (US) | Up to $15,000 | Annual | PRIMARY | MUSIC | For new-music creation; supports commissions, production.
ASCAP Foundation Grants & Scholarships | ASCAP Foundation | https://www.ascapfoundation.org/grants | Individual songwriters/composers (US) | Varies | Annual (per-program deadlines) | PRIMARY | MUSIC | Range of talent-development grants + scholarships; cookie-walled page but live.
BMI Foundation | BMI Foundation | https://bmifoundation.org/ | Individual composers/songwriters | Varies (awards, scholarships, commissions) | Annual | PRIMARY | MUSIC | Multiple composer awards; also org grants.
Musicians Foundation Grants | Musicians Foundation | https://www.musiciansfoundation.org/apply | Professional musicians (performers, composers/arrangers, educators) in financial need | Varies (one-time assistance) | ROLLING | PRIMARY | EMERGENCY | Pays essential bills (rent, medical, utilities) for career musicians in need.
Sweet Relief Musicians Fund | Sweet Relief | https://sweetrelief.org/request-assistance.html | Professional musicians/industry workers in financial need | Varies | ROLLING | PRIMARY | EMERGENCY | Multiple funds: general, mental health, hearing health, cancer, disaster relief.

# ------------------------------ STATE ARTS COUNCIL INDIVIDUAL GRANTS ------------------------------
