# Shinnslist Long-Tail Research: Grants/Scholarships/Assistance for Single Mothers & Single Parents
# All URLs verified HTTP 200 (curl, Aug 2026). Big federal programs (SNAP/WIC/TANF/LIHEAP/Medicaid/SSI/SSDI/EITC/Section 8) intentionally excluded.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

Soroptimist Live Your Dream Award | Soroptimist International of the Americas | https://www.soroptimist.org/our-work/live-your-dream-awards/ | Women who provide the primary financial support for their families (single mothers / heads of household) pursuing education, skills or employment | Up to ~$10,000 (varies by region) | Annual; applications accepted from Aug 1, rolling season | sorority | $49M in education awards to 47,000 women since 1972; local Soroptimist clubs run most awards

Women's Independence Scholarship Program (WISP) | WISP / Doris Buffett | https://www.wispinc.org/ | Women survivors of intimate partner abuse (many are single mothers) pursuing education | Up to ~$10,000 (varies) | Now accepting applications; rolling | foundation | $50M+ awarded to thousands of survivors since 1999; two-generational approach also funds survivors' children

Jeannette Rankin Foundation Scholar Grant | Jeannette Rankin Foundation | https://rankinfoundation.org/ | Low-income women age 25+ pursuing their first associate or bachelor's degree; ~75% of Scholars are single heads of household | Up to ~$2,500 | Opens November 2026 | foundation | Named for first U.S. Congresswoman; also offers Emerge & Tribal Scholar grants

Patsy Takemoto Mink Education Support Award | Patsy Takemoto Mink Education Foundation | https://www.patsyminkfoundation.org/ | Low-income mothers with young children pursuing education | Up to $5,000 | Annual; awardees announced late Oct/early Nov | foundation | Est. 2003; explicitly "for low-income women and children," especially mothers

Capture the Dream Scholarship Fund | Capture the Dream, Inc. | https://www.capturethedream.org/ | Single parents and underserved undergraduate students in financial need | Varies | Rolling | foundation | Award-winning org; distributed $300K+ to 4,000+ people; also mentors and Adopt-A-Classroom

Arkansas Single Parent Scholarship Fund (ASPSF) | ASPSF | https://aspsf.org/ | Single parents in Arkansas earning a degree or certificate | Up to $1,600 per semester | Fall 2026 application open until Sept 1 | foundation | Flexible aid plus workshops, mentors, local resources

P.E.O. Program for Continuing Education | P.E.O. International | https://www.peointernational.org/ | Women (incl. single mothers) whose education was interrupted and who are returning to school | Up to $3,000 | Rolling | sorority | One of P.E.O.'s education funds for women re-entering education; site WAF-blocks automated IPs (403 to curl) but is live for normal visitors

AAUW Career Development Grant | American Association of University Women | https://www.aauw.org/resources/programs/fellowships-grants/ | Women (incl. single mothers) holding a bachelor's degree who are advancing, retraining or changing careers | Up to $30,000 | Annual; fall application cycle | sorority | U.S. citizen or green-card holder; funds coursework for career advancement; site WAF-blocks automated IPs (403 to curl) but is live for normal visitors

Amber Grant | WomensNet | https://ambergrantsforwomen.com/ | Women entrepreneurs (single mothers eligible) at any business stage | $10,000 monthly; plus $50,000 year-end | Monthly, rolling | foundation | Three $10K grants per month; monthly winners compete for year-end $50K; one application covers all WomensNet grants

Dress for Success | Dress for Success Worldwide | https://www.dressforsuccess.org/ | Unemployed/underemployed women (incl. single mothers) | Free professional attire, styling & career coaching (in-kind) | Rolling | foundation | Global network of local affiliates; helps women enter and stay in work

Catholic Charities USA | Catholic Charities USA | https://www.catholiccharitiesusa.org/ | Families in need, incl. single mothers | Emergency rent, utilities, food, shelter, case management (varies by local agency) | Rolling | faith | 160+ local agencies nationwide provide direct family assistance

Society of St. Vincent de Paul USA | St. Vincent de Paul | https://www.svdpusa.org/ | Families in financial crisis, incl. single mothers | Rent, utilities, food, emergency aid (varies by local council) | Rolling | faith | Local councils provide direct, person-to-person help

The Salvation Army USA | The Salvation Army | https://www.salvationarmyusa.org/ | Families in need, incl. single mothers | Emergency food, rent, utilities, holiday assistance | Rolling | faith | ~7,500 local corps centers offer assistance programs

Jewish Family Services (JFS) | JFS network | https://www.jfcs.org/ | Families incl. single mothers | Food, financial counseling, emergency assistance (varies by local agency) | Rolling | faith | Network of local Jewish Family Service agencies

Lutheran Services in America | LSA | https://www.lutheranservices.org/ | Families and individuals in need | Network of local health & human services programs | Rolling | faith | 300+ member organizations serving families nationwide

Love INC (Love In the Name of Christ) | Love INC National | https://www.loveinc.org/ | Families/individuals needing help incl. single mothers | Connects people to local church help: rent, utilities, food, household needs | Rolling | faith | Nationwide network of community affiliates leveraging church volunteers

United Methodist Committee on Relief (UMCOR) | UMCOR | https://www.umcor.org/ | Families affected by disasters and poverty, incl. single mothers | Emergency relief & long-term recovery assistance | Rolling | faith | Focus on disaster recovery & sustainable relief

National Diaper Bank Network (NDBN) | NDBN | https://www.diaperbanknetwork.org/ | Low-income families incl. single mothers | Free diapers & wipes through local diaper banks ("Get Help" locator) | Rolling | foundation | Nearly 1 in 2 U.S. families struggles with diaper need; national network of member banks

Baby2Baby | Baby2Baby | https://www.baby2baby.org/ | Low-income families incl. single mothers | Free diapers, clothing, and basic baby essentials via partner agencies | Rolling | foundation | Distributes essentials through partner nonprofits and schools

Help A Mother Out | Help A Mother Out | https://helpamotherout.org/ | Families in need incl. single mothers | Free diapers and baby supplies via diaper banks | Rolling | foundation | Diaper distribution + policy advocacy

Family Promise | Family Promise | https://familypromise.org/ | Families experiencing homelessness (many are single-mother households) | Emergency shelter, housing, and case management | Rolling | foundation | Nationwide network of local affiliates keeping families together

Operation Homefront | Operation Homefront | https://operationhomefront.org/ | Military families incl. single mothers in the military | Emergency financial assistance, rent, food, critical needs | Rolling | foundation | Assistance to wounded, ill, injured and transitioning military families

findhelp.org (211) | findhelp / Aunt Bertha | https://www.findhelp.org/ | Anyone needing local assistance incl. single mothers | Search-by-ZIP directory of local programs: rent, food, childcare, utilities, etc. | Rolling | 211 | Enter ZIP to find verified local social services

Need Help Paying Bills | Need Help Paying Bills | https://www.needhelppayingbills.com/ | Families and individuals incl. single mothers | Directory of free/cheap assistance, grants & resources by state and category | Rolling | 211 | Curated resource directory for rent, utilities, medical, food help

United Way 211 | United Way Worldwide | https://www.unitedway.org/ | Anyone needing local help incl. single mothers | Call/text 2-1-1 or use United Way's online 211 directory | Rolling | 211 | Dial 2-1-1 for free, confidential local community resources

The Denver Foundation Community Grants | The Denver Foundation | https://denverfoundation.org/ | Metro Denver residents incl. single mothers | Local grants/community funds (varies by fund) | Rolling/annual | community_foundation | Example of local community foundations offering individual/family assistance grants
