National Diaper Bank Network | National Diaper Bank Network | https://nationaldiaperbanknetwork.org/ | Families in need of diapers; locates nearest member diaper bank | in-kind (free diapers) | Rolling | national nonprofit | Network of ~300 local diaper banks; great first stop for large families
Help a Mother Out | Help a Mother Out | https://helpamotherout.org/ | Mothers and families in CA & AZ needing diapers | in-kind (diapers) | Rolling | national nonprofit | Works with existing shelters/banks; distribution via partners
Sweet Cheeks Diaper Bank | Sweet Cheeks Diaper Bank | https://sweetcheeksdiaperbank.org/ | Families in Massachusetts (Greater Boston) in need of diapers | in-kind (diapers) | Rolling | community foundation | MA regional diaper bank
HappyBottoms | HappyBottoms | https://www.happybottoms.org/ | Kansas City metro families in need of diapers | in-kind (diapers) | Rolling | community foundation | Monthly diaper deliveries via agency partners
Cribs for Kids | Cribs for Kids | https://cribsforkids.org/ | Low-income families needing safe sleep (Pack N Plays, education) | in-kind | Rolling | national nonprofit | Safe sleep program for infants
Cradles to Crayons | Cradles to Crayons | https://www.cradlestocrayons.org/ | Children 0-12 in low-income households | in-kind (clothing, school, essentials) | Rolling | national nonprofit | Chicago, Philly, Boston, KC regions; donate/receive clothing
Pajama Program | Pajama Program | https://pajamaprogram.org/ | Children in need | in-kind (pajamas and books) | Rolling | national nonprofit | Focus on vulnerable/impoverished children
Operation Warm | Operation Warm | https://www.operationwarm.org/ | Children in need of winter coats | in-kind (new winter coats) | Rolling | national nonprofit | Coats provided via community partners nationwide
Assistance League Operation School Bell | Assistance League | https://www.assistanceleague.org/ | School-age children from low-income families | in-kind (new school clothing) | Rolling | civic club | 100+ local chapters; clothing for back-to-school
Toys for Tots | Toys for Tots / US Marine Corps Reserve | https://www.toysfortots.org/ | Families with children in need (holiday toys) | in-kind (holiday toys) | Rolling (annual, local cutoff in fall) | national nonprofit | Register via local chapter each Nov-Dec
USPS Operation Santa | U.S. Postal Service | https://www.uspsoperationsanta.com/ | Families who write Santa letters requesting gifts | in-kind (adopted gifts) | Rolling (annual, Oct-Dec) | local-state gov | Letter adoption program; parent must apply as family
Salvation Army Angel Tree | The Salvation Army | https://www.salvationarmyusa.org/ | Families in need at Christmas (toys and gifts) | in-kind | Rolling (annual, Oct-Dec) | faith/church | Local corps centers run Angel Tree signups
Family Giving Tree | Family Giving Tree | https://familygivingtree.org/ | Bay Area (CA) families for holiday gifts and back-to-school | in-kind | Rolling (annual, seasonal) | community foundation | Holiday + back-to-school programs via community partners
Twin to Twin Transfusion Syndrome Foundation | TTTS Foundation | https://www.tttsfoundation.org/ | Families of multiples with TTTS/SIUGR complications | financial + emotional support | Rolling | national nonprofit | Support for parents of twins/multiples in medical crisis
Multiples of America | Multiples of America (NOMOTC) | https://www.multiplesofamerica.org/ | Parents of twins/triplets/multiples | resources + member scholarships | Rolling | national nonprofit | Education and support; local club scholarships
Twiniversity | Twiniversity | https://twiniversity.com/ | Parents of twins and multiples | free resources and community | Rolling | national nonprofit | Global twins parenting support network
Texas Mothers of Multiples | TMOMC | https://www.tmomc.org/ | Parents of multiples in Texas | local support and programs | Rolling | community foundation | Statewide MOMS club network
Family Reach | Family Reach | https://familyreach.org/ | Families with a child fighting cancer | financial relief grants | Rolling | national nonprofit | Covers rent, utilities, transportation, food
