# LONG-TAIL: VETERAN-SPECIFIC CAR / VEHICLE / ADAPTIVE-VEHICLE / TRANSPORTATION PROGRAMS
# Sweep date: 2026-08-15. Method: each URL curl-verified (curl -sIL -L, Chrome UA); all below returned HTTP 200 at sweep time.
# 403 = live but bot-walled (real org, confirmed via ProPublica/other source where noted). Format:
# NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

VA Automobile Allowance & Adaptive Equipment Grant | U.S. Dept of Veterans Affairs (VA) | https://www.va.gov/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment | Service-connected veterans with loss/loss of use of limb or sight | One-time vehicle allowance up to ~$26,106 + equipment | Rolling | GOV | Buy a car w/ adaptive equipment (hand controls, lift); + adaptive grant for added equipment.

VA Beneficiary Travel Reimbursement | U.S. Dept of Veterans Affairs (VA) | https://www.va.gov/health-care/get-reimbursed-for-travel-pay/ | Veterans traveling for VA care; disabled/low-income priority | Per-mile + parking/toll reimbursement (pre-set rate) | Rolling | GOV | Reimburse gas/mileage for VA medical trips; apply via VA travel pay.

DAV Transportation Network (Medical Transportation) | Disabled American Veterans (DAV) | https://www.dav.org/get-help-now/medical-transportation/ | Veterans needing rides to VA medical appointments | Free rides (volunteer drivers) | Rolling | ORG | 1,800+ coordinators, ~200 vehicles; contact local coordinator for ride scheduling.

VFW Unmet Needs | Veterans of Foreign Wars (VFW) | https://www.vfw.org/assistance/unmet-needs | Post-9/11 veterans/active duty facing financial hardship (incl. car repair/transport) | Up to ~$1,750 grant | Rolling | ORG | Grants cover essential needs incl. auto repair & transport when they threaten basic living.

VFW Military Assistance Program (MAP) | Veterans of Foreign Wars (VFW) | https://www.vfw.org/assistance/military-assistance-program | Veterans, active duty, dependents in financial hardship | Up to ~$1,500 emergency grant | Rolling | ORG | Emergency aid for rent/utilities/food/auto & transport; apply via VFW service officer.

Semper Fi & America's Fund — Transportation Assistance | Semper Fi & America's Fund | https://thefund.org/programs/transportation-assistance/ | Post-9/11 wounded/ill/injured service members & families | Grants for travel/transport costs | Rolling | ORG | Helps cover vehicle/transport expenses for medical and recovery needs.

Semper Fi & America's Fund — Specialized Adaptive Equipment | Semper Fi & America's Fund | https://thefund.org/programs/specialized-adaptive-equipment/ | Wounded/ill/injured service members needing adaptive gear | Grants for adaptive/assistive equipment | Rolling | ORG | May include adaptive driving/vehicle mods; apply via Fund case team.

Wounded Warrior Project — Financial Readiness/Assistance | Wounded Warrior Project (WWP) | https://www.woundedwarriorproject.org/programs/financial-readiness | Post-9/11 wounded/ill/injured veterans & families | Direct financial assistance grants (vehicle/transport eligible) | Rolling | ORG | WWP financial assistance can help with auto repair/transport; contact WWP Resource Center.

Hope for the Warriors — Critical Assistance | Hope for the Warriors | https://www.hopeforthewarriors.org/programs | Post-9/11 wounded/injured veterans, families, caregivers | Financial assistance grants (varies) | Rolling | ORG | Assists with urgent needs incl. vehicle/transport; no-cost to veteran families.

