# SHINNSLIST LONG-TAIL RESEARCH — CAR/VEHICLE/MOBILITY ASSISTANCE FOR PEOPLE WITH DISABILITIES
# Research compiled 2026-08-15 for the Shinnslist long-tail grant sweep (docs/long-tail-coverage.md).
# Focus: adaptive vehicle / wheelchair van purchase & modification, mobility equipment, driving evaluation & lessons,
# car repair for people with disabilities. Excludes SSI/SSDI/Medicaid/Medicare/SNAP/WIC/TANF/LIHEAP/EITC/Section 8/USDA 504
# and the general car-charity programs already in the DB.
# URL verification: every URL curl-checked HTTP 200 on 2026-08-15 via `curl -sIL -o /dev/null -w '%{http_code}' -L`.
# FORMAT: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

NMEDA - National Mobility Equipment Dealers Association | NMEDA (nonprofit) | https://nmeda.org/ | People with disabilities needing adaptive vehicle equipment/dealers | Varies (free dealer directory & consumer info) | Rolling | ORG | Accredited dealers for hand controls, lifts, vans; consumer guidance + safety info.
Variety - the Children's Charity | Variety International (501c3) | https://variety.org/ | Children with disabilities needing mobility equipment (incl. adapted vans) | Varies (mobility equipment & vehicles) | Rolling | ORG | Global children's charity funds adapted vans, wheelchairs, mobility gear for kids.
Variety of the Desert | Variety of the Desert (CA) | https://www.varietyofthedesert.org/ | Children with disabilities needing adapted vans/mobility equipment | Varies (adapted van & equipment grants) | Rolling | ORG | Coachella Valley, CA chapter; adapts minivans for kids with disabilities.
Variety KC - Kansas City | Variety - the Children's Charity of Greater KC | https://varietykc.org/ | Children with disabilities needing adapted vans/mobility gear (KC metro) | Varies (adapted van program) | Rolling | ORG | Regional Variety chapter providing adapted vans for children with mobility needs.
Travis Roy Foundation - Adaptive Equipment Grants | Travis Roy Foundation | https://www.travisroyfoundation.org/ | Individuals with spinal cord injury needing adaptive equipment | Up to ~$5,000 per grant | Rolling (2-3 cycles/yr) | ORG | Funds adaptive sports & mobility equipment incl. handcycles, sports chairs.
National MS Society - Financial Assistance | National Multiple Sclerosis Society | https://www.nationalmssociety.org/ | People living with MS needing equipment/vehicle/mobility help | Varies (financial assistance grants) | Rolling | ORG | Helps with durable medical equipment & mobility-related costs for MS patients.
Muscular Dystrophy Association - Equipment | Muscular Dystrophy Association | https://www.mda.org/ | Individuals with neuromuscular disease needing mobility equipment | Varies (wheelchairs, lifts, equipment) | Rolling | ORG | MDA provides durable medical equipment grants to those with muscular dystrophy/ALS.
Hope for the Warriors - Vehicle/Transport | Hope For The Warriors | https://www.hopeforthewarriors.org/ | Post-9/11 wounded/injured veterans & families | Varies (vehicle & transportation assistance) | Rolling | ORG | Serves veterans; vehicle/transport grants + mobility support.
Wounded Warrior Project - Vehicle Modification | Wounded Warrior Project | https://www.woundedwarriorproject.org/ | Post-9/11 injured veterans needing vehicle modification | Varies (vehicle modification grants) | Rolling | ORG | Funds adaptive vehicle modifications for wounded warriors.
Semper Fi & America's Fund | Semper Fi & America's Fund | https://thefund.org/ | Combat-wounded veterans needing adaptive vehicles/equipment | Varies (vehicle & equipment grants) | Rolling | ORG | Grants for adapted vehicles & mobility equipment for wounded vets.
The Independence Fund - Adapted Vehicles | The Independence Fund | https://independencefund.org/ | Combat-wounded veterans needing adaptive vehicles | Varies (adapted vehicle program) | Rolling | ORG | Provides adapted vehicles & mobility to catastrophically wounded vets.
Joni and Friends - Wheels for the World | Joni and Friends | https://www.joniandfriends.org/wheels-for-the-world/ | People with disabilities worldwide needing wheelchairs | Varies (wheelchairs & mobility) | Rolling | FAITH | Faith-based; donates/refurbishes wheelchairs & mobility aids.
Ability360 - Independent Living | Ability360 (AZ) | https://ability360.org/ | People with disabilities (esp. Arizona) needing mobility/vehicles | Varies (mobility & van services) | Rolling | ORG | Phoenix ILC offering adapted van rental, mobility equipment, employment help.
United Spinal Association - Driving | United Spinal Association | https://unitedspinal.org/ | People with spinal cord injury/disease needing driving/mobility help | Varies (resources & guidance) | Rolling | ORG | Member resources incl. adaptive driving & vehicle equipment guidance.
