Salvation Army Emergency & Christmas Assistance (local corps) | The Salvation Army | https://www.salvationarmyusa.org/location-finder/ | Low-income families incl. single parents, residents near a local corps | Varies (rent, utilities, deposits, food, Christmas gifts) | Rolling | faith/church | Use location finder to contact local corps for emergency/holiday aid; each corps sets own rules
St. Vincent de Paul Get Help | St. Vincent de Paul Society | https://www.svdpusa.org/Get-Help | Neighbors in need, low-income families incl. single parents | Varies (rent, utilities, food, clothing vouchers) | Rolling | faith/church | Local Conferences provide emergency assistance; contact local council
Catholic Charities Foundational Services | Catholic Charities USA | https://www.catholiccharitiesusa.org/what-we-do/foundational-services/ | Low-income families incl. single parents in crisis | Varies (emergency assistance, food, utilities, housing) | Rolling | faith/church | Network of ~160 local agencies; search local affiliate for emergency funds
Catholic Charities Affordable Housing | Catholic Charities USA | https://www.catholiccharitiesusa.org/what-we-do/affordable-housing/ | Low-income families incl. single parents seeking rental housing | Varies (rental housing, deposits, support services) | Rolling | faith/church | Local affiliates run affordable housing and rental help programs
211 United Way | 211 / United Way | https://www.211.org/ | Anyone (incl. single parents) needing local help | Varies (free referrals to rent/utility/childcare/food help) | Rolling | 211 | Dial 211 or search by ZIP for local programs; 24/7 free and confidential
findhelp.org | Findhelp (Aunt Bertha) | https://www.findhelp.org/ | Anyone (incl. single parents) needing free/low-cost help | Varies (rent, utilities, childcare, food, medical) | Rolling | national nonprofit | Searchable nationwide directory of verified local programs by ZIP/category
Dollar Energy Fund utility assistance | Dollar Energy Fund | https://www.dollarenergy.org/ | Income-qualified households, often families with children | Varies by utility (typically $100-$500/yr bill credits) | Rolling | national nonprofit | Works with local utility companies; apply via participating utility
Child Care Aware CCR&R referral | Child Care Aware of America | https://www.childcareaware.org/families/ | Families incl. single parents seeking childcare | Varies (referrals to local child care resource & referral agencies, subsidy info) | Rolling | national nonprofit | State CCR&R agencies help find/afford child care beyond federal CCDF
YMCA child care & financial assistance | YMCA of the USA | https://www.ymca.org/ | Families incl. single parents | Varies (income-based child care, before/after-school; local financial aid) | Rolling | national nonprofit | Contact local Y for sliding-scale fees and scholarship assistance
Boys & Girls Clubs of America | Boys & Girls Clubs of America | https://www.bgca.org/ | Youth ages 6-18, incl. kids of single parents | Varies (low-cost/free after-school & youth programming) | Rolling | national nonprofit | Clubs provide safe after-school care; many offer reduced membership
Rebuilding Together home repair | Rebuilding Together | https://www.rebuildingtogether.org/ | Low-income homeowners incl. single parents, veterans, elderly | Free critical home repairs and accessibility modifications | Rolling | national nonprofit | ~120 local affiliates; apply through local affiliate
