American Indian College Fund | American Indian College Fund | https://collegefund.org/ | Enrolled or self-identified American Indian/Alaska Native students seeking higher education | Varies by scholarship; up to ~$10,000/yr | Rolling | national nonprofit | Largest native scholarship fund; supports TCU and mainstream university students
College Fund Scholarships portal | American Indian College Fund | https://collegefund.org/scholarships/ | Native students with tribal ties; many require enrollment in federally recognized tribe | Varies by award (full-tuition to a few thousand) | Rolling | national nonprofit | Central application for multiple tribal college scholarships
Cobell Scholarship | Cobell Scholarship Program | https://www.cobellscholar.org/ | Enrolled members of federally recognized tribes, must submit tribal enrollment | Up to $50,000 (emergency assistance) / $15,000 (emergency general); annual scholarships vary | Rolling | national nonprofit | Funded from Cobell settlement trust; undergrad, grad, and emergency assistance
AISES Scholarships | American Indian Science and Engineering Society | https://www.aises.org/ | American Indian, Alaska Native, and Native Hawaiian STEM students (undergrad/grad) | Up to ~$5,000 per year; many corporate-funded awards | Annual application windows | national nonprofit | STEM-specific scholarships; membership encouraged
AISES main site | American Indian Science and Engineering Society | https://www.aises.org/scholarships | Native STEM students at any academic level | Varies by award | Annual windows | national nonprofit | Links to full scholarship list
Association on American Indian Affairs Scholarships | Association on American Indian Affairs | https://www.indian-affairs.org/ | Native American/Alaska Native students (AAIA program scholarships) | ~$1,000-$5,000 depending on program | Rolling/annual | national nonprofit | Also runs sequoyah fellowships and emergency funds
Native American Rights Fund (legal aid) | Native American Rights Fund | https://www.narf.org/ | Tribes, Native organizations, and individuals needing legal help on Native rights | Free legal representation (case-based) | Rolling | national nonprofit | Only national nonprofit law firm for Native rights; not a cash grant
First Nations Development Institute | First Nations Development Institute | https://www.firstnations.org/ | Native nonprofits, tribal governments, and Native-led organizations | Grant awards vary ($5k-$100k+) | Annual deadlines | community foundation | Funds Native community economic development projects
First Nations grantmaking programs | First Nations Development Institute | https://www.firstnations.org/grantmaking/ | Federally recognized tribes, Native nonprofits, Native-serving organizations | Varies by RFP | Annual deadlines | community foundation | Multiple grant programs including Native youth and food sovereignty
Indigenous Women Rising | Indigenous Women Rising | https://www.iwrising.org/ | Native women and LGBTQ+ Two-Spirit individuals, and community partners | Varies; reproductive health access support | Rolling | national nonprofit | Provides reproductive health funding and access support for Indigenous people
Native American Connections | Native American Connections | https://www.nativeconnections.org/ | Native Americans in Phoenix, AZ area needing housing and health services | Varies (housing, behavioral health services) | Rolling | national nonprofit | Phoenix-based affordable housing and health/wellness services
Cherokee Nation | Cherokee Nation | https://www.cherokee.org/ | Enrolled Cherokee Nation citizens | Varies (programs/services for citizens) | Rolling | tribal | Tribal government services including higher education for citizens
Office of Navajo Nation Scholarship and Financial Assistance | Navajo Nation | https://www.onnsfa.org/ | Enrolled Navajo Nation members pursuing postsecondary education | Varies; covers tuition/fees based on funding | Annual deadlines | tribal | Primary Navajo Nation scholarship and financial aid office
