# LONG-TAIL CIVIC/SERVICE CLUB GRANTS & SCHOLARSHIPS
# Shinnslist research — hard-to-find LOCAL grants/scholarships from civic/service clubs.
# National umbrella programs + how locals apply. URLs verified HTTP 200 unless noted.
# Compiled 2026-08-15.
#
# FORMAT: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

# ===================== ROTARY =====================
Rotary District Grants | The Rotary Foundation / Rotary International | https://www.rotary.org/get-involved/our-programs/grants | Rotary & Rotaract clubs/districts (apply via local district governor); funds small-scale, short-term community needs | Small-scale, typically ~$1,000-$25,000 (amount set per district) | Annual, district deadlines vary (spring/fall) | National umbrella (curl 200) | Apply through the LOCAL district; district committee decides. Not individual — club-run. Rotaract clubs (young adults 18-30) also eligible.

Rotary Global Grants | The Rotary Foundation / Rotary International | https://www.rotary.org/get-involved/our-programs/grants | Rotary clubs partnering with an international club; projects in Rotary's 7 areas of focus | US$30,000-$400,000 (Foundation co-funds ~50%) | Rolling (submitted year-round; needs training + district approval) | National umbrella (curl 200) | For larger international projects with measurable outcomes; clubs must complete Global Grant training. Local clubs can team up to access.

Rotary Disaster Response Grants | The Rotary Foundation | https://www.rotary.org/get-involved/our-programs/grants | Rotary clubs/districts in natural-disaster-affected areas | Up to ~US$25,000 | Rolling on activation after a disaster | National umbrella (curl 200) | Relief + recovery; apply via district. Part of Rotary's grant portfolio.

Rotary Peace Fellowships | The Rotary Foundation | https://www.rotary.org/en/our-programs/peace-fellowships | Individuals w/ bachelor's + 3 yrs relevant work experience & leadership (grad students/professionals) | Full funding (tuition, room/board, travel) for master's or certificate program | Annual; apply ~May (2027-28 intake via local district by ~May 15) | National umbrella (curl 200) | Apply through a local Rotary district sponsor. 100+ fellows/yr worldwide.

# ===================== LIONS =====================
Lions Clubs International Foundation (LCIF) Community Impact Grants | Lions Clubs International Foundation (LCIF) | https://www.lionsclubs.org/en/discover-our-clubs/lions-clubs-international-foundation | Local Lions clubs & districts (community impact, vision, diabetes, hunger) | Varies | Rolling | National umbrella (URL HTTP 403 / Cloudflare-blocked — could NOT verify) | lionsclubs.org aggressively bot-blocks curl + browser. Apply via LOCAL Lions club; club submits to LCIF. Local Lions clubs also run their own local scholarships.

LCIF Disaster / Emergency Grants (humanitarian aid) | LCIF | https://www.lionsclubs.org/en/discover-our-clubs/lions-clubs-international-foundation/grants | Lions clubs in disaster-affected areas applying for emergency relief funds | Varies (emergency/humanitarian) | Rolling on disaster activation | National umbrella (URL blocked by Cloudflare — could NOT verify) | Disaster & humanitarian aid channeled through local Lions clubs. Site requires manual human access.

# ===================== KIWANIS =====================
Kiwanis Children's Fund Grants | Kiwanis International / Kiwanis Children's Fund | https://www.kiwanis.org/childrens-fund/ | Kiwanis clubs, districts, Key Clubs & Circle K clubs running children-serving projects | Varies (grants to clubs/districts; plus Key Club/Circle K) | Annual / rolling | National umbrella (direct 403; VERIFIED via Wayback archive snapshot 2023) | Fund focuses on education/literacy, health/nutrition, youth leadership + maternal-neonatal tetanus/iodine. Apply via local Kiwanis club/district.

Local Kiwanis Club Scholarships | Individual Kiwanis clubs (nationwide) | https://www.kiwanis.org/kiwanis/childrens-fund/ (club locator: https://www.kiwanis.org/find-club) | Local high school & college students in the club's community | Varies (typically $500-$5,000) | Varies (usually spring, pre-graduation) | LOCAL (not centrally listed) | EVERY Kiwanis club runs local scholarships + supports Key Club (high school) & Circle K (college) students. Contact local club directly — this is the true long-tail moat.

# ===================== ELKS =====================
Elks Most Valuable Student (MVS) | Elks National Foundation | https://www.elks.org/scholars/scholarships/mvs.cfm | US-citizen high school seniors (NO Elks-family relationship needed), enrolling in 4-year US degree | Up to $50,000 total (top multi-year award) | Annual: 2027 app opens Aug 1, 2026; closes Nov 12, 2026 | National umbrella (curl 200) | Judged on scholarship, leadership, financial need. Apply online; program code ElksMVS. Many winners also get local lodge add-ons.

