# LONG-TAIL PROFESSIONAL GRANTS & SCHOLARSHIPS — FIRST RESPONDERS / TEACHERS / NURSES — swept 2026-08-15
# Shinnslist research. All URLs verified HTTP 200 (or WAF-live / known-active) at sweep time.
# Source: primary org sites via curl + browser. Re-verify before re-reporting (liveness/deadlines drift).
# Legend: source_type = PRIMARY (org's own page, HTTP 200) | WAF-LIVE (bot-wall blocks curl, org confirmed live/active via browser or known-active federal program)
# NOTE on HRSA/NHSC: hrsa.gov + nhsc.hrsa.gov hard-block ALL automated access ("Access Denied"). These are flagship, currently-active federal programs; re-open annually. Verify current cycle dates on site.

NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | CATEGORY | NOTES

# ------------------------------ FIRST RESPONDERS ------------------------------
Folds of Honor Higher Education Scholarship | Folds of Honor | https://foldsofhonor.org/scholarships/ | Children/spouses of fallen or disabled US service members AND first responders (police, fire, EMT) | Up to $5,000 (new) / $2,500 (continuing) per semester (K-12 support $500) | Annual (apply ~March 1–May 31) | PRIMARY | FIRST RESPONDER | Largest donor-scholarship program for first-responder & military families. Needs military/FR service record verification.
Firehouse Subs Public Safety Foundation Grants | Firehouse Subs Public Safety Foundation | https://firehousesubsfoundation.org/ | US fire departments, police/sheriff, EMS agencies (equipment, education, training, disaster relief) | Varies (grants typically $2,500–$50,000) | ROLLING (reviewed quarterly) | PRIMARY | FIRST RESPONDER | Funds gear, vehicles, lifesaving equipment for public-safety agencies. Grant request portal online.
National Fallen Firefighters Foundation Scholarship | National Fallen Firefighters Foundation | https://www.firehero.org/ | Children/spouses of firefighters who died in the line of duty | Up to $5,000/yr (up to 4 yrs undergrad) | ROLLING (accepted year-round) | PRIMARY | FIRST RESPONDER | Also offers counseling & assistance (NFFF). Must provide line-of-duty death documentation.
IAFF Scholarship Programs | International Association of Fire Fighters (IAFF) | https://www.iaff.org/ | IAFF members & their children/spouses; also W.H. "Billy" Wynn Memorial Scholarship (children of fallen fire fighters) | $1,000–$2,500 per award | Annual (varies by fund; typically spring) | PRIMARY | FIRST RESPONDER | Multiple IAFF-administered scholarships. Check IAFF "Scholarships" page for current list & deadlines.
NVFC Scholarships & Grants | National Volunteer Fire Council | https://www.nvfc.org/ | Volunteer firefighters/EMTs; also departments (training, recruitment/retention) | Varies (scholarships ~$1,000; department grants up to several $k) | ROLLING/Annual (varies by program) | PRIMARY | FIRST RESPONDER | NVFC runs multiple grant/scholarship funds (e.g., NVFC Foundation). For volunteer personnel specifically.
FASNY Volunteer Firefighter Scholarships | Firemen's Association of the State of New York (FASNY) | https://www.fasny.com/ | NY State volunteer firefighters & their children (multiple FASNY scholarship funds) | $500–$2,000 per award | Annual (applications typically spring) | PRIMARY | FIRST RESPONDER | State-specific (NY). Several named FASNY scholarship funds for volunteer fire service families.
Concerns of Police Survivors (C.O.P.S.) Scholarships | C.O.P.S. | https://www.concernsofpolicesurvivors.org/ | Children/spouses of law-enforcement officers killed in the line of duty | Varies (multiple scholarships; up to several $k) | Annual (spring deadlines) | PRIMARY | FIRST RESPONDER | National org supporting survivors of fallen officers; several survivor scholarship funds.
American Legion Scholarships (children of FR/military) | American Legion | https://www.legion.org/ | Children/grandchildren of Legion members; includes programs benefiting public-safety & military families | Varies ($1k–$25k by program) | Annual (per-program deadlines) | PRIMARY | FIRST RESPONDER | Multiple Legion scholarship programs; some target public-safety/military dependents. Check site per fund.
