UNCF Scholarships | United Negro College Fund | https://uncf.org/scholarships/ | Black/African American students at UNCF-member HBCUs and eligible colleges | $500-$10,000+ | Rolling (multiple deadlines) | national nonprofit | Largest private scholarship provider for Black students; requires FAFSA and membership eligibility
NBNA National Scholarships | National Black Nurses Association | https://nbna.org/scholarships/ | Black nursing students at all levels (LPN to Doctorate) in accredited programs | $1,000-$2,000+ | Annual (opened for cycle) | national nonprofit | Scholarships start at $1,000; requires NBNA membership; awards presented at Annual Institute & Conference
NAACP Scholarships | NAACP | https://www.naacp.org/scholarships | Black/African American high school and college students | Varies (need- and merit-based) | Rolling / per scholarship | national nonprofit | Umbrella page listing multiple NAACP-administered scholarships and fellowship programs
Black Girl Ventures | Black Girl Ventures Foundation | https://blackgirlventures.org/ | Black and multicultural women founders (early-stage businesses) | Varies (grants + pitch funding) | Rolling | national nonprofit | Crowdfunded pitch competition grants for Black women entrepreneurs; non-dilutive capital
Ron Brown Scholar Program | Ron Brown Scholar Program | https://ronbrown.org/ | Academically outstanding Black/African American high school seniors | Up to $40,000 over 4 years ($10,000/yr) | Annual (deadline ~Jan) | national nonprofit | Selective national merit scholarship for Black students with strong community service
Alpha Phi Alpha Fraternity Programs | Alpha Phi Alpha Fraternity, Inc. | https://www.apa1906.net/ | Members and community youth; Go-To-High-School, scholarships | Varies | Rolling | sorority-fraternity | First Black collegiate fraternity; runs mentoring and scholarship programs for Black students
Delta Sigma Theta Sorority Programs | Delta Sigma Theta Sorority, Inc. | https://www.deltasigmatheta.org/ | Members and Black students/communities | Varies | Rolling | sorority-fraternity | DST national and local chapters offer scholarships and community programs for Black families
AKA Educational Advancement Foundation | Alpha Kappa Alpha Educational Advancement Foundation | https://www.akaeaf.com/scholarships/ | Black students; scholarships, fellowships and loans | Varies | Annual | sorority-fraternity | AKA EAF awards academic scholarships, fellowships and loans to African American students
Black Girls Smile | Black Girls Smile, Inc. | https://www.blackgirlssmile.org/ | Black girls and young women (mental health programs) | Free programs / no-cost resources | Rolling | national nonprofit | Mental health wellness org focused on Black girls; youth programs and community grants
NSBE Scholarships | National Society of Black Engineers | https://www.nsbe.org/ | Black engineering students (undergrad/grad) | Varies (several scholarship programs) | Annual | national nonprofit | Scholarships and corporate-funded awards for Black engineering students
Black Health Matters | Black Health Matters | https://www.blackhealthmatters.com/ | Black/African American community (health education) | Free resources | Rolling | national nonprofit | Health information and wellness initiatives for the Black community
Black Public Media | Black Public Media | https://www.blackpublicmedia.org/ | Black media makers (documentary/film grants) | Varies | Rolling | national nonprofit | 360 Incubator and grants funding Black public media makers
The Links, Incorporated | The Links, Incorporated | https://www.linksinc.org/ | Members and Black youth/communities | Varies | Rolling | civic club | National civic organization; chapters award scholarships and community grants for Black students
National Urban League Programs | National Urban League | https://www.nul.org/ | Black/African American families and job seekers | Varies | Rolling | national nonprofit | Workforce, education, housing and economic empowerment programs and resources
National Action Network | National Action Network (NAN) | https://www.nationalactionnetwork.net/ | Black/African American families; advocacy programs | Varies | Rolling | national nonprofit | Civil rights org; community assistance, job programs and annual convention resources
OneUnited Bank | OneUnited Bank | https://www.oneunited.com/ | Black/African American community; CDFI banking | No-cost/low-cost banking; grants | Rolling | corporate | Largest Black-owned bank; CDFI with community grants and financial literacy
Black Restaurant Week | Black Restaurant Week | https://www.blackrestaurantweeks.com/ | Black food and hospitality entrepreneurs | Varies (marketing + grant support) | Annual | corporate | Promotes and supports Black-owned restaurants; vendors and business support programs
Black Girls Rock | Black Girls Rock, Inc. | https://www.blackgirlsrock.com/ | Black women and girls (mentorship/programs) | Free programs | Rolling | national nonprofit | Empowers Black women and girls through mentorship and leadership programs
American Black Film Festival | American Black Film Festival | https://www.abff.com/ | Black film and TV makers (fellowships/prizes) | Varies | Annual | national nonprofit | Largest gathering of Black film/TV; grants, fellowships and competition prizes for Black creators
Sigma Gamma Rho Programs | Sigma Gamma Rho Sorority, Inc. | https://www.sgrho1922.org/ | Members and Black students; Operation BigBookBag | Varies | Rolling | sorority-fraternity | SGRho national programs support Black students and families; scholarships via chapters
Zeta Phi Beta Programs | Zeta Phi Beta Sorority, Inc. | https://www.zetaphibeta.org/ | Members and Black students/communities | Varies | Rolling | sorority-fraternity | Zeta national and local chapters fund scholarships and community programs for Black families
Kappa Alpha Psi Foundation | Kappa Alpha Psi Fraternity, Inc. | https://www.kappalphapsi1911.com/ | Members and Black students | Varies | Rolling | sorority-fraternity | Kappa Alpha Psi Foundation and chapters award scholarships to Black students
National Coalition of 100 Black Women | NCBW | https://www.ncbw.org/ | Black women and girls (leadership/scholarships) | Varies | Rolling | civic club | Advocates for Black women; chapters award scholarships and leadership grants
Black Enterprise Scholarships & Programs | Black Enterprise | https://www.blackenterprise.com/scholarships/ | Black students and professionals | Varies | Rolling | corporate | Curated list of scholarships and financial resources for Black students
HBCUconnect | HBCUconnect | https://hbcuconnect.com/ | Students attending or planning to attend HBCUs | Varies (scholarships list) | Rolling | national nonprofit | Scholarship and financial aid resource hub for HBCU-bound Black students
