Rebuilding Together | Rebuilding Together (national nonprofit) | https://rebuildingtogether.org | Homeowners 60+ and low-income, including seniors in need of safe home repairs | Free critical home repairs (no cost to homeowner) | Rolling | national nonprofit | Repairs and modifications help seniors age in place; contact local affiliate.
Habitat for Humanity Home Repair & Aging in Place | Habitat for Humanity International | https://www.habitat.org/impact/our-work | Low-income seniors/older adults needing home repair and accessibility mods | Varies by affiliate (often income-based, zero/low-interest) | Rolling | national nonprofit | Repairs, weatherization, ramp/accessibility builds through local Habitat affiliates.
Fuller Center for Housing - Home Repair | Fuller Center for Housing | https://fullercenter.org | Low-income elderly homeowners needing critical repairs | Varies, often repayable no-interest loans | Rolling | faith/church | Faith-based home repair/rebuild partner; local covenant partners. (URL check pending - bot-block intermittent; verified 200 in a prior check.)
Rosalynn Carter Institute for Caregivers | Rosalynn Carter Institute for Caregiving | https://www.rosalynncarter.org | Family caregivers of seniors/veterans | Free training, tools, and support resources | Rolling | national nonprofit | Caregiver support, education, and the "Caring for the Caregiver" programs.
WellMed Charitable Foundation Caregiver Programs | WellMed Charitable Foundation | https://www.wellmedcharitablefoundation.org/caregivers | Family caregivers of older adults, esp. those isolated or under stress | Free caregiver grants/resources (varies) | Rolling | corporate | Provides caregiver education, support, and connection; COVID caregiver grant program.
Caregiver Action Network | Caregiver Action Network (national nonprofit) | https://caregiveraction.org | Family caregivers of seniors and those with chronic conditions | Free resources, toolkits, and a Family Caregiver Helpline | Rolling | national nonprofit | Advocacy and practical support; no-cost caregiver education.
Family Caregiver Alliance | Family Caregiver Alliance | https://www.caregiver.org | Family caregivers of older adults (esp. dementia) | Free resources, support groups, caregiving guidance | Rolling | national nonprofit | National Center on Caregiving info and referral, regional caregiving services.
Caregiver Support Network | Caregiver Support Network (national nonprofit) | https://caregiversupportnetwork.org | Family and unpaid caregivers | Free support groups, respite assistance referrals | Rolling | national nonprofit | Peer support, training, and caregiver respite resources.
Caregiver.com (Today's Caregiver) | Today's Caregiver magazine | https://www.caregiver.com | Family caregivers | Free caregiver magazine, caregiving stress resources | Rolling | national nonprofit | Education and the Caregiver of the Year awards (grant to honoree).
ARCH National Respite Network | ARCH National Respite Network & Resource Center | https://archrespite.org | Caregivers needing respite and respite providers | Free respite locator and funding/state resources | Rolling | national nonprofit | National Respite Locator and Lifespan Respite technical support.
National Alliance for Caregiving | National Alliance for Caregiving | https://www.caregiving.org | Family caregivers of older adults | Free research, caregiving resources | Rolling | national nonprofit | Evidence-based caregiver support and policy resources.
Village to Village Network | Village to Village Network | https://www.vtvnetwork.org | Adults 50+ wanting to stay at home via neighbor villages | Membership fee varies (often sliding); programs like rides, home help | Rolling | national nonprofit | Village model provides transportation, home help, social connection for seniors.
ITNAmerica | ITNAmerica | https://www.itnamerica.org | Older adults needing affordable transportation | Ride credits via membership (cost per ride, sliding for low-income) | Rolling | national nonprofit | Senior-friendly community transportation (ITN rides).
Ride Connection | Ride Connection (Portland metro, Oregon) | https://www.rideconnection.org | Seniors 60+ and people with disabilities | Low-cost or free transportation rides | Rolling | local-state gov | Volunteer driver and accessible transit for older adults (model to replicate via 211).
Senior Ride / seniorride.com | Senior Ride transportation network | https://www.seniorride.com | Seniors needing non-emergency transport | Rides at cost, often discounted | Rolling | national nonprofit | Non-medical senior transportation referrals.
Eldercare Locator | U.S. Administration for Community Living | https://eldercare.acl.gov | Older adults and family caregivers | Free national locator for local senior services | Rolling | local-state gov | Connects seniors to Area Agencies on Aging, in-home care, transportation, home repair.
USAging (Area Agencies on Aging) | USAging (formerly n4a) | https://www.usaging.org | Older adults 60+ and caregivers | Free/subsidized local services: home care, meals, transport | Rolling | local-state gov | Local Area Agencies on Aging deliver in-home care, caregiver support, respite.
National Association of Area Agencies on Aging (n4a) | n4a | https://www.n4a.org/ | Seniors 60+ and family caregivers | Free local caregiving/home care services via AAA network | Rolling | local-state gov | AAA network for in-home care, caregiver respite, transportation.
BenefitsCheckUp | National Council on Aging (NCOA) | https://www.benefitscheckup.org | Adults 60+ and those with disabilities | Free screening for 2,000+ benefit programs | Rolling | national nonprofit | Screens seniors for eligibility to benefits incl. food, housing, home care, transport.
AARP Foundation | AARP Foundation | https://www.aarpfoundation.org/what-we-do | Low-income adults 50+ | Free programs: hunger, housing, income, and community grants | Rolling | national nonprofit | Supports seniors with home repair, benefits, and aging in place.
Alzheimer's Association Caregiver Support | Alzheimer's Association | https://www.alz.org/help-support/caregiving | Family caregivers of people with dementia | Free 24/7 Helpline, support groups, education | Rolling | national nonprofit | Respite referrals, caregiving training, and local caregiver programs.
Ready2Respond | Ready2Respond | https://www.ready2respond.org | Caregivers and seniors preparing for emergencies | Free preparedness training/resources | Rolling | national nonprofit | Senior and caregiver disaster preparedness education.
Easterseals | Easterseals | https://www.easterseals.com | Older adults and people with disabilities | Free/subsidized home care, in-home services, transport | Rolling | national nonprofit | Adult day services, in-home care, senior transportation at local affiliates.
Catholic Charities USA | Catholic Charities USA | https://www.catholiccharitiesusa.org/what-we-do | Seniors and low-income families | Varies by local agency: home repair, food, transport | Rolling | faith/church | Local Catholic Charities provide senior assistance, home care, and repair.
St. Vincent de Paul - Senior Assistance | Society of St. Vincent de Paul USA | https://www.svdpusa.org/how-we-help/ | Low-income seniors and families | Varies: rent, utilities, food, home help | Rolling | faith/church | Local SVdP conferences assist seniors with home needs and repairs.
The Salvation Army Senior Services | The Salvation Army USA | https://www.salvationarmyusa.org | Seniors and low-income adults | Varies by local corps: utility, food, transport, home help | Rolling | faith/church | Local corps provide senior assistance including housing and food support.
Generations United Grandfamilies | Generations United | https://www.gu.org/what-we-do/grandfamilies | Grandparents/older kin raising grandchildren | Free resources and state grandfamily support | Rolling | national nonprofit | Caregiver support for older relative caregivers.
VNA Caregivers / VNA Senior Services | Visiting Nurse Associations (VNA) | https://www.vnacaregivers.org | Seniors needing in-home nursing/care and their caregivers | Varies: in-home care, caregiver support (insurance/private) | Rolling | national nonprofit | Non-federal in-home nursing and caregiver support via local VNAs.
Pets for Seniors | Pets for Seniors | https://www.petsforseniors.org | Seniors 60+ wanting companion pets | Free pet adoption/companionship for seniors | Rolling | national nonprofit | Companion pet program for homebound seniors.
VolunteerMatch - Senior Caregiving | VolunteerMatch | https://www.volunteermatch.org/search/rid/217 | Seniors and caregivers seeking volunteers | Free matching with volunteer companions/drivers | Rolling | national nonprofit | Free volunteer companionship, rides, and home help for seniors.
Senior Connection | Senior Connection | https://www.seniorconnection.org | Seniors needing connection/companionship | Free/volunteer companionship and support calls | Rolling | national nonprofit | Phone and in-person companion program for isolated seniors.
