Freelancers Union | Freelancers Union | https://www.freelancersunion.org/ | Independent workers, freelancers, gig and self-employed across all US states | Membership plus resources; hardship fund paused - access to insurance, legal and tax help | Rolling | national nonprofit | Membership org for 100% independent workers; current hardship-relief fund is closed so no cash grant today - use for advocacy/resources
Sweet Relief Musicians Fund | Sweet Relief Musicians Fund | https://sweetrelief.org/ | Working musicians and music-industry gig workers in financial crisis | Financial assistance grants, amount varies by need | Rolling | national nonprofit | Accepts applications for illness/disability/crisis relief for professional musicians
MusiCares | Recording Academy (MusiCares) | https://www.musicares.org/ | Music professionals (musicians, producers, road crew) in financial or health need | Need-based financial assistance, amount varies | Rolling | national nonprofit | Direct emergency financial grants plus medical/dental/mental-health support for music industry workers
The Actors Fund | The Actors Fund | https://actorsfund.org/ | Entertainment industry workers (film, TV, theater, music, dance) including freelancers | Emergency financial assistance grants/loans, varies | Rolling | national nonprofit | Nonprofit safety net for performing arts and entertainment professionals; application required
SAG-AFTRA Foundation Emergency Financial Assistance | SAG-AFTRA Foundation | https://sagaftra.foundation/emergency-financial-assistance/ | SAG-AFTRA members (actors and performers) facing financial crisis | Need-based emergency grants, varies | Rolling | national nonprofit | Union-affiliated nonprofit; page live but 403 to bare curl (bot-protected), 200 in browser
The Haven Foundation | The Haven Foundation | https://www.havenfoundation.org/ | Freelance writers, photographers, illustrators and performing artists who are uninsured | One-time emergency grants up to about $10,000 | Rolling | national nonprofit | Helps freelance artists facing career-ending or income-threatening illness/accident
Authors League Fund | Authors League Fund | https://www.authorsleaguefund.org/ | Professional writers incl. screenwriters, playwrights, journalists in financial need | Interest-free loans up to $10,000, often forgiven | Rolling | national nonprofit | Page live but 403 to bare curl (bot-protected), 200 in browser; loans turn to grants in hardship
Musicians Foundation | Musicians Foundation Inc | https://www.musiciansfoundation.org/ | Professional musicians in financial emergency | Emergency financial grants, amount varies | Rolling | national nonprofit | Long-running emergency aid for working musicians; online application
USBG Bartender Emergency Assistance | United States Bartenders Guild Foundation | https://www.usbgfoundation.org/ | Bartenders and beverage-industry professionals (often tipped gig/independent) | Emergency grants up to about $500 | Rolling | national nonprofit | Direct hardship relief for bar and beverage workers
One Fair Wage Emergency Relief Fund | One Fair Wage | https://onefairwage.com/ | Tipped and service-sector workers incl. delivery and gig workers | Cash relief grants, amount varies by round | Rolling | national nonprofit | Advocacy org that runs periodic emergency cash relief for underpaid service workers
Damayan | Damayan Migrant Workers Association | https://www.damayanmigrants.org/ | Filipino and immigrant domestic workers, esp. NYC-area | Emergency assistance for abuse/trafficking/hardship, varies | Rolling | national nonprofit | Domestic-worker led org; emergency relief and case support for live-in caregivers
