Dell Scholars Program | Dell Technologies | https://www.dellscholars.org/ | Low-income, first-generation college-bound high school seniors who overcame significant obstacles | $20,000 over 4 years + laptop | Annual (app deadline typically Jan 15) | corporate | Funded by Michael & Susan Dell Foundation; requires full-time undergraduate enrollment
Coca-Cola Scholars Program | Coca-Cola Scholars Foundation | https://www.coca-colascholarsfoundation.org/ | US high school seniors with strong academics and community service | $20,000 (150 awards) | Annual (deadline Oct 31) | corporate | Self-driven students; no GPA minimum but leadership/community required
Burger King Scholars Program (James W. McLamore Foundation) | Burger King McLamore Foundation | https://www.burgerkingfoundation.org/ | High school seniors and enrolled undergrads, incl. Burger King employees, GPA 2.5+ | $1,000-$25,000 | Annual (varies by state) | corporate | Applies via local Burger King restaurants and schools
Elks Most Valuable Student Scholarship | Elks National Foundation | https://www.elks.org/scholars/scholarships/mvs.cfm | US high school seniors | $1,000-$50,000 | Annual (deadline varies by state, ~Nov 30) | civic club | Based on academics, leadership, financial need; local lodge application
Elks Emergency Grant | Elks National Foundation | https://www.elks.org/scholars/ | Elks member family (spouse/dependent child) in a college program facing financial emergency | $1,000 per semester | Rolling | civic club | Must be an Elks member's immediate family
SWE Scholarships | Society of Women Engineers | https://swe.org/scholarships/ | Women pursuing ABET-accredited undergraduate/graduate engineering and computer science degrees | Varies (multiple awards) | Annual (app deadline typically Feb 1) | trade association | SWE membership encouraged; U.S. and international
Jack Kent Cooke College Scholarship | Jack Kent Cooke Foundation | https://www.jkcf.org/our-scholarships/college-scholarship-program/ | High-achieving, low-income high school seniors planning to attend a 4-year accredited college | Up to $40,000/year for up to 4 years | Annual (deadline typically Nov 14) | national nonprofit | ~60 scholarships; requires unmet financial need
Hispanic Scholarship Fund (HSF) Scholarships | Hispanic Scholarship Fund | https://www.hsf.net/scholarship | US citizens or legal residents of Hispanic heritage pursuing college/graduate degrees | $500-$5,000 | Annual (varies by program) | national nonprofit | Open to high school, undergrad, grad, and adult learners
UNCF Scholarships | United Negro College Fund | https://www.uncf.org/scholarships | African-American and other underrepresented-minority college students | Varies by program | Rolling/annual | national nonprofit | Manages 400+ scholarship programs for HBCU and other students
Thurgood Marshall College Fund (TMCF) Scholarships | Thurgood Marshall College Fund | https://www.tmcf.org/our-programs/scholarships | Students attending the 47 publicly supported HBCUs and predominantly black institutions | Varies | Annual | national nonprofit | Covers merit, leadership, and professional development
NSBE Scholarships | National Society of Black Engineers | https://www.nsbe.org/scholarships | Black and underrepresented-minority undergraduate and graduate engineering and computer science students | Varies (multiple awards) | Annual | trade association | NSBE membership required
Alpha Kappa Alpha Educational Advancement Foundation Scholarships | AKA Educational Advancement Foundation | https://www.akaeaf.org/scholarships | Undergraduate and graduate students with community involvement and academic merit | $1,500-$3,000 (approx.) | Annual (varies) | sorority/fraternity | Non-members may apply to several AKA EAF scholarships
Point Foundation Scholarships | Point Foundation | https://www.pointfoundation.org/scholarships/ | LGBTQ+ students with financial need and leadership | Varies ($10,000-$20,000 range) | Annual (deadline typically Jan 9) | national nonprofit | Includes mentoring and support; must be enrolled or enrolling
Rotary Scholarships & Fellowships | Rotary International | https://www.rotary.org/en/our-programs/scholarships | Students pursuing peace/development studies and other fields (varies by district) | Varies by district | Rolling (district-specific) | civic club | Apply through local Rotary club; global grants fund graduate study
Our Fund (The LGBTQ Community Foundation) Scholarships | Our Fund Foundation | https://www.ourfund.org/scholarships | LGBTQ+ students, esp. in South Florida, and allies | Varies | Annual | community foundation | Scholarship program administered through partner foundations
BigFuture Scholarships (College Board Opportunity Scholarships) | College Board / BigFuture | https://www.bigfuture.org/scholarships | US high school juniors and seniors who complete college-planning steps on BigFuture | $500-$40,000 (random drawing/merit) | Rolling (monthly entries) | national nonprofit | Automatic eligibility by completing action steps
National Merit Scholarship Program | National Merit Scholarship Corporation | https://www.nms.org/ | High-achieving high school students entering through PSAT/NMSQT | $2,500 National Merit, plus corporate/college awards | Annual (varies) | national nonprofit | Semifinalists selected by PSAT/NMSQT index
