# LGBTQ+ Individual Long-Tail Programs — Shinnslist wave
# Sweep date: 2026-08-15. All URLs verified HTTP 200 at sweep time. Re-verify before re-reporting (liveness/deadlines drift).
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES
# NOTE: Some orgs (True Colors, StartOut, NGLCC, Backstage, SAGE) are service/advocacy/network providers, not direct-cash grants — flagged in NOTES.

# ===== SCHOLARSHIPS =====
Point Flagship Scholarship | Point Foundation | https://pointfoundation.org/scholarships/flagship | LGBTQ+ & ally students pursuing bachelor's/graduate/professional degrees at accredited US institutions, full-time, min 3.3 GPA (not 100% online-only) | Need-based financial award, renewable up to 4 years | Annual; apps open ~late year, deadline ~Jan (verify) | Scholarship | Largest national LGBTQ+ scholarship; most competitive.
Point Access Scholarship | Point Foundation | https://pointfoundation.org/scholarships/access | LGBTQ+ students with financial need (supports community-college + 4-yr paths) | Need-based | Annual (verify) | Scholarship | Aimed at LGBTQ+ students of color / higher-need applicants.
Point Community College Scholarship | Point Foundation | https://pointfoundation.org/scholarships/community-college | LGBTQ+ & ally students in 2-year/community-college programs, min 2.5 GPA | $1,500 | Annual | Scholarship | Low barrier — 2.5 GPA; for associate/trade paths.
Point Internship & Professional Development Award | Point Foundation | https://pointfoundation.org/scholarships/internship-professional-development | Point-affiliated students seeking internships & professional growth | Award (stipend) | Annual (verify) | Scholarship | Complements flagship/access awards.
Pride Foundation Scholarships | Pride Foundation | https://www.pridefoundation.org/scholarships/ | LGBTQ+/questioning residents of AK, ID, MT, OR, WA (may study elsewhere); all education levels & interests | Varies; $8.5M awarded to 2,400+ students to date | Annual, ~Feb (verify) | Regional scholarship | Covers tuition, supplies, research; most regional depth in PNW.
LEAGUE Foundation Scholarship | LEAGUE Foundation | https://leaguefoundation.org/ | Self-identifying LGBTQ+ graduating US high school seniors (+ allies) moving directly into higher education | Varies (~$2,200 avg historically; $560K/253 awards) | Apps open Jan, close April; awards summer | Scholarship | Focuses on graduating HS seniors (highest dropout/suicide risk group).
Gamma Mu Foundation Scholarships & Grants | Gamma Mu Foundation | https://gammamufoundation.org/grants-and-scholarships | LGBTQ+ students (esp. those from smaller/underserved communities) + LGBTQ+ community orgs | Varies | Annual (verify) | Scholarship/org grants | Also offers org grants; individual scholarships targeted at small-community students.
PFLAG Chapter Scholarship Programs | PFLAG National | https://pflag.org/scholarship | LGBTQ+ students via local PFLAG chapters (chapter-specific criteria) | Varies by chapter | Rolling / varies by chapter | Chapter scholarship locator | Not national-administered — find your local chapter to apply.

# ===== EMERGENCY / HARDSHIP =====
