rank,name,city,zip,revenue_or_income,ntee,tax_period,fit_score,fit_reason,official_website,public_contact,contact_source,contact_status
1,MUSLIM FAMILY SERVICES OF COLORADO,DENVER,80207-1816,314857,P80,202412,19.85,"target-band public charity; NTEE P80; $314,857 reported income; current IRS tax period",,,,pending verification
2,REGIONAL INSTITUTE HEALTH ENVIRONMENTAL LEADERSHIP,DENVER,80250-0000,342018,P05,202512,19.58,"target-band public charity; NTEE P05; $342,018 reported income; current IRS tax period",,,,pending verification
3,CHILDRENS LIFELINE INTERNATIONAL INC,DENVER,80209-3532,264052,P30,202509,18.64,"target-band public charity; NTEE P30; $264,052 reported income; current IRS tax period",,,,pending verification
4,INTERCOMMUNITY HOUSING FERNDALE,DENVER,80202-4929,356132,L21,202412,18.44,"target-band public charity; NTEE L21; $356,132 reported income; current IRS tax period",,,,pending verification
5,FAMILY CAREER AND COMMUNITY LEADERS OF AMERICA INC,DENVER,80230-6011,242148,O52Z,202506,18.42,"target-band public charity; NTEE O52Z; $242,148 reported income; current IRS tax period",,,,pending verification
6,SOMALI AMERICAN COMMUNITY CENTER OF COLORADO,DENVER,80231-2716,225750,P84,202507,18.26,"target-band public charity; NTEE P84; $225,750 reported income; current IRS tax period",,,,pending verification
7,PRISMXL SERVICES INC,DENVER,80237-2539,212533,P20,202412,18.13,"target-band public charity; NTEE P20; $212,533 reported income; current IRS tax period",,,,pending verification
8,YOUTH EMPOWERMENT AGENCY,DENVER,80249-8769,289994,O50,202512,17.9,"target-band public charity; NTEE O50; $289,994 reported income; current IRS tax period",,,,pending verification
9,RADICAL ARTS ACADEMY OF DENVER,DENVER,80239-5130,315150,O50,202506,17.85,"target-band public charity; NTEE O50; $315,150 reported income; current IRS tax period",,,,pending verification
10,GREATER PARK HILL COMMUNITY INC,DENVER,80207-2748,417312,P20Z,202412,17.83,"target-band public charity; NTEE P20Z; $417,312 reported income; current IRS tax period",,,,pending verification
11,REDI V,DENVER,80203-4346,278353,P73Z,202503,17.78,"target-band public charity; NTEE P73Z; $278,353 reported income; current IRS tax period",,,,pending verification
12,LION PROJECT,DENVER,80205-2103,321577,P20,202412,17.78,"target-band public charity; NTEE P20; $321,577 reported income; current IRS tax period",,,,pending verification
13,COLORADO COMMUNITY LAND TRUST-ARAPAHOE LLC,DENVER,80223-2015,323956,L20,202506,17.76,"target-band public charity; NTEE L20; $323,956 reported income; current IRS tax period",,,,pending verification
14,YOUTH CELEBRATE DIVERSITY,DENVER,80237-2746,328224,O50,202506,17.72,"target-band public charity; NTEE O50; $328,224 reported income; current IRS tax period",,,,pending verification
15,HOPE HAS NO BORDERS,DENVER,80212-7329,269625,P20,202512,17.7,"target-band public charity; NTEE P20; $269,625 reported income; current IRS tax period",,,,pending verification
16,ALLIANCE MENTAL HEALTH COMMUNITY PARTNERSHIP,DENVER,80212-0192,268393,F30,202412,17.68,"target-band public charity; NTEE F30; $268,393 reported income; current IRS tax period",,,,pending verification
17,DIGNITY PROJECT,DENVER,80224-1926,263060,P85,202412,17.63,"target-band public charity; NTEE P85; $263,060 reported income; current IRS tax period",,,,pending verification
18,AFRICA DEVELOPMENT PROMISE,DENVER,80205-2764,340321,P20,202412,17.6,"target-band public charity; NTEE P20; $340,321 reported income; current IRS tax period",,,,pending verification
19,PASTORAL COUNSELING FOR DENVER INC,DENVER,80222-6007,258539,P46Z,202506,17.59,"target-band public charity; NTEE P46Z; $258,539 reported income; current IRS tax period",,,,pending verification
20,SHOUT INC,DENVER,80220-4829,350184,P30,202506,17.5,"target-band public charity; NTEE P30; $350,184 reported income; current IRS tax period",,,,pending verification
21,AG & FOOD LAB,DENVER,80204-4819,245943,K01,202512,17.46,"target-band public charity; NTEE K01; $245,943 reported income; current IRS tax period",,,,pending verification
22,RUNNING RIVERS,DENVER,80220-4620,232637,P20,202512,17.33,"target-band public charity; NTEE P20; $232,637 reported income; current IRS tax period",,,,pending verification
23,FISH FOR CHANGE,DENVER,80237-3463,232757,P20,202412,17.33,"target-band public charity; NTEE P20; $232,757 reported income; current IRS tax period",,,,pending verification
24,SPEAK OUR MINDS ENDING THE YOUTH MENTAL HEALTH CRISIS,AURORA,80015-1715,223129,P30,202412,17.23,"target-band public charity; NTEE P30; $223,129 reported income; current IRS tax period",,,,pending verification
25,STERLING SENIOR HOUSING,DENVER,80202-4929,223385,L22,202412,17.23,"target-band public charity; NTEE L22; $223,385 reported income; current IRS tax period",,,,pending verification
26,GAULT STREET SENIOR HOUSING A CA NONPROFIT PUBLIC BENEFIT CORP,DENVER,80202-4929,381292,L22,202412,17.19,"target-band public charity; NTEE L22; $381,292 reported income; current IRS tax period",,,,pending verification
27,DENVER DIACONAL CONFERENCE INC,DENVER,80250-0253,216552,P20,202512,17.17,"target-band public charity; NTEE P20; $216,552 reported income; current IRS tax period",,,,pending verification
28,SOUTHWEST IMPROVEMENT COUNCIL INC,DENVER,80219-1005,384351,P200,202512,17.16,"target-band public charity; NTEE P200; $384,351 reported income; current IRS tax period",,,,pending verification
29,COLORADO IMMIGRANT JUSTICE FUND,DENVER,80205-4452,384454,P20,202512,17.16,"target-band public charity; NTEE P20; $384,454 reported income; current IRS tax period",,,,pending verification
30,HEART OF THE MATTER TRANSFORMATION RETREAT INC,DENVER,80210-5407,211383,P50,202412,17.11,"target-band public charity; NTEE P50; $211,383 reported income; current IRS tax period",,,,pending verification
31,SOX PLACE INC,DENVER,80205-2030,396374,P30,202412,17.04,"target-band public charity; NTEE P30; $396,374 reported income; current IRS tax period",,,,pending verification
32,DENVER POLICE ORPHANS FUND INC,DENVER,80204-2720,396968,P99,202412,17.03,"target-band public charity; NTEE P99; $396,968 reported income; current IRS tax period",,,,pending verification
33,ST MARYS VILLA AT RIVERVIEW II INC,DENVER,80202-4929,399255,P198,202512,17.01,"target-band public charity; NTEE P198; $399,255 reported income; current IRS tax period",,,,pending verification
34,SYNAPTIV INC,DENVER,80202-5428,400900,P20,202512,16.99,"target-band public charity; NTEE P20; $400,900 reported income; current IRS tax period",,,,pending verification
35,CARING & SHARING COMMUNITY RESOURCES AND TRANSFORMATION CENTE,AURORA,80010-2116,297956,P20,202412,16.98,"target-band public charity; NTEE P20; $297,956 reported income; current IRS tax period",,,,pending verification
36,DENVER ADAPTIVE DIVERS,DENVER,80206-4333,196608,P80,202412,16.97,"target-band public charity; NTEE P80; $196,608 reported income; current IRS tax period",,,,pending verification
37,LOVVE PROJECT,DENVER,80203-1859,297112,K31,202512,16.97,"target-band public charity; NTEE K31; $297,112 reported income; current IRS tax period",,,,pending verification
38,LORDS DAILY BREAD,DENVER,80218-1025,296193,K35,202412,16.96,"target-band public charity; NTEE K35; $296,193 reported income; current IRS tax period",,,,pending verification
39,PLAZAS DE MERCED,DENVER,80202-4929,296336,L21,202412,16.96,"target-band public charity; NTEE L21; $296,336 reported income; current IRS tax period",,,,pending verification
40,CAPITOL HILL COMMUNITY SERVICES,ENGLEWOOD,80110-3494,294108,K350,202508,16.94,"target-band public charity; NTEE K350; $294,108 reported income; current IRS tax period",,,,pending verification
41,SUNSHINE HOME SHARE COLORADO,DENVER,80205-3961,307484,L80,202512,16.93,"target-band public charity; NTEE L80; $307,484 reported income; current IRS tax period",,,,pending verification
42,WALTER S JACKSON COMMUNITY ALCOHOL- DRUG REHABILITION & EDUCATION CTR,DENVER,80205-4015,308613,F22Z,202506,16.91,"target-band public charity; NTEE F22Z; $308,613 reported income; current IRS tax period",,,,pending verification
43,ST CATHERINE RESIDENCE INC,DENVER,80202-4929,409567,P450,202412,16.9,"target-band public charity; NTEE P450; $409,567 reported income; current IRS tax period",,,,pending verification
44,LOWELL TERRACE CORP,DENVER,80222-6012,189210,P80,202506,16.89,"target-band public charity; NTEE P80; $189,210 reported income; current IRS tax period",,,,pending verification
45,THE CONSUMPTION LITERACY PROJECT,DENVER,80212-2921,285891,O51,202412,16.86,"target-band public charity; NTEE O51; $285,891 reported income; current IRS tax period",,,,pending verification
46,FAMILY VOICES COLORADO INC,DENVER,80203-1289,515456,P40,202512,16.85,"target-band public charity; NTEE P40; $515,456 reported income; current IRS tax period",,,,pending verification
47,PATRIOTS CARE INC,DENVER,80224-1228,181159,P20,202512,16.81,"target-band public charity; NTEE P20; $181,159 reported income; current IRS tax period",,,,pending verification
48,METRONOMY INC,DENVER,80204-1300,281451,L02,202506,16.81,"target-band public charity; NTEE L02; $281,451 reported income; current IRS tax period",,,,pending verification
49,FOUR WINDS AMERICAN INDIAN COUNCIL,DENVER,80204-0000,165663,P99,202412,16.66,"target-band public charity; NTEE P99; $165,663 reported income; current IRS tax period",,,,pending verification
50,MYCHOICE RESOURCE CENTER,DENVER,80221-4689,164728,P47,202512,16.65,"target-band public charity; NTEE P47; $164,728 reported income; current IRS tax period",,,,pending verification
