# Shinnslist — Long-Tail: Elder Care / Nursing Care / In-Home Care / Caregiver Support Programs for Individuals & Families
# Prepared: 2026-08-15 · Method: named federal (VA/ACL/CMS/DOJ) + national nonprofits (Alzheimer's/AFA/ARCH/Rosalynn Carter) + state aging networks + PACE/adult-day + home-modification. NOT NFCSP, NOT Medicaid (already covered elsewhere).
# URL verification: every URL HTTP 200 at sweep time (curl -A Chrome; 403 = live-but-bot-walled flagged; ARCH subpages + WellMed verified 200 in-browser). All currently open / rolling unless a deadline is stated.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT/WHAT_THEY_GIVE | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

# --- VETERANS / VA (elder-care + caregiver cash/stipend benefits) ---
VA Aid & Attendance & Housebound (pension) | U.S. Dept of Veterans Affairs | https://www.va.gov/pension/aid-attendance-housebound/ | Veterans (or surviving spouse) 65+/disabled needing regular help with ADLs; low income/net worth | Monthly cash pension benefit ADDED ON TOP of basic pension (A&A = highest tier; varies by dependents, ~$1,700-2,900/mo 2026) | Rolling | federal benefit | Non-service-connected cash pension; A&A paid if housebound/aid needed; seek accredited VSO to file
VA Program of Comprehensive Assistance for Family Caregivers (PCAFC) | U.S. Dept of Veterans Affairs | https://www.va.gov/family-member-benefits/comprehensive-assistance-for-family-caregivers/ | Family caregivers of eligible post-9/11 (and now some pre-9/11) veterans with serious injury/illness | Monthly stipend + healthcare coverage for caregiver + respite + training | Rolling | federal benefit | Caregiver stipend tiers based on level of need; includes CHAMPVA-like coverage for caregiver
VA Respite Care (CGST under CWT) | U.S. Dept of Veterans Affairs | https://www.caregiver.va.gov/support/Respite.asp | Caregivers of enrolled veterans; any era | Up to 30 days of in-home or facility respite per year through VA medical centers | Rolling | federal benefit | Request via primary care / Caregiver Support Coordinator at local VAMC
VA Program of General Caregiver Support Services (PGCSS) | U.S. Dept of Veterans Affairs | https://www.caregiver.va.gov/PGCSS.asp | Caregivers of veterans of ANY era who need in-home assistance | Peer support, coaching, mental-health counseling, education, training, online resources | Rolling | federal benefit | Broader than PCAFC; no stipend but real support services
VA Adult Day Health Care (ADHC) | U.S. Dept of Veterans Affairs | https://www.va.gov/geriatrics/pages/Adult_Day_Health_Care.asp | Enrolled veterans in VA Geriatrics & Extended Care | Therapeutic adult-day services at VA sites (rehab, nursing oversight, meals) | Rolling | federal benefit | Free to qualifying veterans; reduces caregiver daytime burden

# --- AREA AGENCIES ON AGING / AGING NETWORK (ACL/CMS) ---
Eldercare Locator | ACL (HHS) | https://eldercare.acl.gov/ | Seniors 60+ & family caregivers (any income) | Free national directory to local Area Agencies on Aging, nutrition, care services; phone 1-800-677-1116 | Rolling | directory/finder | Best single front-door to AAA programs in any county
USAging (Nat'l Assoc of Area Agencies on Aging) | USAging (n4a) | https://www.n4a.org/ | Public + caregivers seeking AAA services | AAA locator + info on Older Americans Act Title III services (transport, meals, benefits counseling, caregiver support) | Rolling | advocacy/finder | AAs are the local gateway to OAA services; find your AAA here
SHIP — State Health Insurance Assistance Program | CMS via states (SHIP TA Center) | https://www.shiptacenter.org/ | Medicare beneficiaries & their caregivers/family (any income) | FREE unbiased Medicare counseling: plans, appeals, drug coverage | Rolling | federal/state counseling | Each state's SHIP helpline; use Medicare Plan Finder with counselor help
Senior Medicare Patrol (SMP) | CMS via states | https://www.smpresource.org/ | Medicare beneficiaries & caregivers (any income) | Free education & help spotting/reporting Medicare fraud, billing errors, identity theft | Rolling | federal/state counseling | Volunteer/outreach; empowers seniors to protect benefits
Long-Term Care Ombudsman Program | ACL via states | https://acl.gov/programs/Protecting-Rights-and-Preventing-Abuse/Long-term-care-ombudsman-program | Residents of nursing homes & assisted living + families | Free advocacy to resolve complaints about care, dignity, rights | Rolling | federal/state advocacy | Confidential; each state ombudsman; also advises on facility choice
Lifespan Respite Care Program | ACL via states (Lifespan Respite grantees) | https://www.acl.gov/programs/support-caregivers/lifespan-respite-care-program | Family caregivers of any age care-recipient (elderly, disabled) | State-run respite SUBSIDIES/VOUCHERS for caregivers | Rolling; state-dependent | federal/state benefit | The main national vehicle for respite vouchers; contact state Lifespan Respite grantee
National Center on Elder Abuse (NCEA) | ACL | https://ncea.acl.gov/ | Elders & families facing abuse/neglect/exploitation | Free info, helpline routing, state reporting resources | Rolling | federal clearinghouse | Route elder-abuse reports to Adult Protective Services

# --- ALZHEIMER'S / DEMENTIA SUPPORT ---
Alzheimer's Association 24/7 Helpline | Alzheimer's Association | https://www.alz.org/help-support/resources/helpline | People with dementia, caregivers, families (any income) | 24/7 free support & referrals by phone 1-800-272-3900; crisis support | Rolling | nonprofit helpline | 200+ languages via interpretation; first-call emotional support
Alzheimer's Association Caregiver Center | Alzheimer's Association | https://www.alz.org/help-support/caregiving | Family caregivers of people with dementia | Free care-planning tools, support groups, safety, respite guidance, ALZConnected forum | Rolling | nonprofit resource | National/local chapters run free caregiver support groups & education
Alzheimer's Foundation of America (AFA) | AFA | https://alzfdn.org/ | Caregivers & people with Alzheimer's/dementia (any income) | Free memory screening program, AFA Helpline, support groups, education, ConnectTo program | Rolling | nonprofit resource | AFA Helpline 1-866-232-8484; nationwide memory screenings
NIA Alzheimer's & Dementia Caregiving | National Institute on Aging (NIH) | https://www.nia.nih.gov/health/alzheimers-caregiving | Caregivers of people with dementia | Evidence-based caregiving guides, daily-living help, safety, long-distance care, end-of-life planning | Rolling | federal clearinghouse | Free PDFs/guides; also lists ADEAR Center 1-800-438-4380

# --- RESPITE CARE (vouchers / locators) ---
ARCH National Respite Network & Resource Center | ARCH (program of Families & Communities Rising) | https://archrespite.org/ | Family caregivers of any care-recipient (any age/condition) | National respite network: find state coalitions, funding guidance, how-to-pay-for-respite | Rolling | nonprofit network | Central hub for ALL respite questions; has state coalition contact list
National Respite Locator Service (ARCH) | ARCH | https://archrespite.org/caregiver-resources/respitelocator/ | Family caregivers nationwide | Searchable database of local respite providers (home care, adult day, assisted living) | Rolling | finder (200 verified in-browser) | Best way to FIND a provider near you; pair with Lifespan/state funding
Respite Voucher / Self-Directed Respite Programs (directory) | ARCH / state grantees | https://archrespite.org/ta-center-for-respite/respite-voucher-programs/ | Family caregivers via state Lifespan Respite, AAA, or county programs | Self-directed voucher/stipend/grant to pay your own respite provider | Rolling; state-dependent | finder/benefit (200 verified in-browser) | Explains the self-directed voucher model + "Apply for State Lifespan Respite Voucher Programs" link

# --- HOME MODIFICATION FOR SENIORS ---
Rebuilding Together | Rebuilding Together (national 501c3) | https://rebuildingtogether.org/ | Low-income seniors, veterans, people with disabilities; homeowners/renters | FREE home safety & accessibility repairs (grab bars, ramps, walkways, fall-prevention) via local affiliates | Rolling; local capacity | national charity | Age-in-place focus; apply through local affiliate; no repayment
USDA Single-Family Housing Repair Loans & Grants (Sec 504) | USDA Rural Development | https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants | Very-low-income seniors (62+) homeowners in rural areas | Grant up to $10,000 (lifetime) for age-related repairs + loan up to $40,000 | Rolling | federal benefit | 403 bot-wall on this URL — program REAL; verify/apply via local RD office or State RD office
HUD Section 202 Supportive Housing for the Elderly | HUD | https://www.hud.gov/program_offices/housing/mfh/progdesc/eld202 | Very-low-income seniors 62+ needing supportive housing | Affordable rental housing + supportive services (meals, housekeeping, transportation) | Rolling; waitlists | federal benefit | Capital+project-rental assistance to nonprofits building senior housing

# --- ADULT DAY CARE / PACE ---
PACE — Program of All-Inclusive Care for the Elderly | CMS (NPA membership) | https://www.npaonline.org/ | Adults 55+ eligible for nursing-home level care, living in a PACE service area | Full medical + social day care, transportation, in-home support (no out-of-pocket for Medicare/Medicaid eligible) | Rolling | federal/state benefit | Find a PACE center via NPA locator; "pay as you go" option for private pay
National Adult Day Services Association (NADSA) | NADSA | https://www.nadsa.org/ | Older adults & families seeking adult day care | Adult Day Center locator + standards/guidance on choosing centers | Rolling | association/finder | Adult day = daytime supervision + activities + caregiving relief

# --- CAREGIVER FINANCIAL ASSISTANCE / SCHOLARSHIPS / SUPPORT ORGS ---
