Hispanic Scholarship Fund (HSF) General Scholarship | Hispanic Scholarship Fund | https://www.hsf.net/scholarship | US citizen or permanent resident of Hispanic heritage, HS grad/GED or enrolled college, min 3.0 GPA, attending accredited US school | $500-$5,000 | Rolling (apply annually Jan-Feb) | national nonprofit | Largest Latino scholarship org; awards 10,000+ students yearly
LULAC National Scholarship Fund | League of United Latin American Citizens (LULAC) | https://lulac.org/programs/scholarships/ | Latino students; need-based and merit tracks via participating councils | $250-$2,000 (varies by council) | Rolling (via local LULAC councils) | civic club | Oldest Hispanic scholarship program; apply through local LULAC council
CHCI Scholarships | Congressional Hispanic Caucus Institute | https://chci.org/programs/ | Latino high school & college students interested in public policy/civic engagement | Varies (covers costs) | Rolling | national nonprofit | Also internships & fellowships in DC
HACU Scholarship Program | Hispanic Association of Colleges and Universities | https://hacu.net/programs/hacu-scholarship-program/ | Latino students attending HACU-member colleges; co-sponsored with private donors | Varies ($500-$5,000+) | Rolling (per sponsor deadlines) | national nonprofit | Must attend a HACU-member institution
SHPE ScholarSHPE | Society of Hispanic Professional Engineers | https://shpe.org/engage/programs/scholarshpe/ | Latino students pursuing STEM degrees; SHPE membership encouraged | Varies (up to several thousand) | Rolling (annual cycle) | national nonprofit | Largest Hispanic STEM engineering scholarship pool
Prospanica Scholarships | Prospanica (National Society of Hispanic MBAs) | https://www.prospanica.org/ | Latino graduate business/STEM students; members | $2,000-$10,000 | Rolling (annual cycle) | national nonprofit | Serves Hispanic business graduate students
HACE Scholarships | Hispanic Alliance for Career Enhancement | https://www.haceonline.org/ | Latino students & early-career professionals | Varies | Rolling | national nonprofit | Career development + scholarships for Latinos
National Hispanic Institute (NHI) | National Hispanic Institute | https://www.nhi-net.org/ | Latino high school students seeking leadership development | Varies (program fees partly covered by sponsors) | Rolling | national nonprofit | Leadership/civic programs, not direct cash
Hispanic Heritage Foundation Awards | Hispanic Heritage Foundation | https://hispanicheritage.org/ | Latino high school & college students excelling in leadership/STEM/arts | $500-$3,000 (via regional awards) | Rolling (annual cycle) | national nonprofit | Youth Awards program honors + funds students
MANA National (Hermana) Scholarships | MANA, A National Latina Organization | https://www.hermanas.org/ | Latina students; national and chapter-level scholarships | Varies (several hundred to thousands) | Rolling (via chapters) | national nonprofit | Nation's oldest Latina membership organization
Hispanic Federation Grants & Programs | Hispanic Federation | https://hispanicfederation.org/ | Latino families; education, health, civic programs via member agencies | Varies (program-based) | Rolling | national nonprofit | Federates 500+ Latino community orgs
Adelante Fund | Adelante Fund | https://www.adelantefund.org/ | Latino students through partner community orgs | Varies | Rolling | national nonprofit | College savings/matching support for Latino students
SALEF Scholarships | Scholarship America (Hispanic Scholarships) | https://www.salef.org/ | Latino students via Dolores Huerta & other funds | $1,000-$5,000 (varies) | Rolling (annual cycle) | national nonprofit | Fund of Dolores Huerta Foundation through Scholarship America
United Farm Workers Foundation Services | United Farm Workers Foundation | https://ufwfoundation.org/ | Farmworker families (majority Latino) | Varies (services-based) | Rolling | national nonprofit | Services & relief for farmworker families
Farmworker Justice | Farmworker Justice | https://www.farmworkerjustice.org/ | Latino farmworkers & families | Varies (advocacy/legal) | Rolling | national nonprofit | Legal & health advocacy for farmworkers
National Latino Farmers & Ranchers | National Latino Farmers and Ranchers Trade Association | https://www.latinofarmers.org/ | Latino farmers & ranchers | Varies (training/assistance) | Rolling | national nonprofit | Ag assistance for Latino producers
Latino Community Foundation | Latino Community Foundation | https://www.latinocf.org/ | Latino families/communities in CA via local nonprofits | Varies (grants via partners) | Rolling | community foundation | CA-focused Latino grantmaking
Mexican American Opportunity Foundation | Mexican American Opportunity Foundation | https://www.maof.org/ | Latino families; early childhood, senior, employment services | Varies (services) | Rolling | community foundation | Long-running LA-based Latino family services
Latino Justice PRLDEF | LatinoJustice PRLDEF | https://latinojustice.org/ | Latino communities; legal defense & rights | Varies (legal aid) | Rolling | national nonprofit | Civil rights legal org
Hispanic Access Foundation | Hispanic Access Foundation | https://hispanicaccess.org/ | Latino communities; conservation, education, civic programs | Varies (program-based) | Rolling | national nonprofit | Connects Latinos to parks/conservation programs
Latino Outdoors | Latino Outdoors | https://latinooutdoors.org/ | Latino families & youth; outdoor recreation programs | Varies (program-based) | Rolling | national nonprofit | Outdoor leadership for Latino communities
Hispanic Star | Hispanic Star | https://www.hispanicstar.org/ | Latino families & communities; resource navigation | Varies (services) | Rolling | national nonprofit | Community resilience/civic engagement platform
US Hispanic Chamber of Commerce | United States Hispanic Chamber of Commerce | https://ushcc.com/ | Latino small-business owners & entrepreneurs | Varies (business programs/grants) | Rolling | civic club | Largest Latino business chamber; connects to capital
National Hispanic College Fund | National Hispanic College Fund (NHCF) | https://www.nhcf.org/ | Latino college students; need & merit scholarships | Varies ($500-$5,000) | Rolling (annual cycle) | national nonprofit | Scholarships for Latino college students
Hispanic Bar Association | Hispanic National Bar Association | https://www.hba.org/ | Latino law students & legal professionals | Varies (scholarships/fellowships) | Rolling | national nonprofit | Latino legal scholarship & fellowship programs
UnidosUS Education & Empowerment | UnidosUS | https://www.unidosus.org/ | Latino families; education, health, civic programs via affiliate network | Varies (program-based) | Rolling | national nonprofit | Largest Latino civil rights & advocacy org
USHLI | United States Hispanic Leadership Institute | https://www.ushli.org/ | Latino students & leaders; civic education programs | Varies (program-based) | Rolling | national nonprofit | Civic leadership training for Latinos
