# LONG-TAIL VETERANS / MILITARY MEMBERS / MILITARY SPOUSES & FAMILIES PROGRAMS
# Grants, loans, scholarships, home-buying/repair, disabled-vet assistance, emergency relief, and spouse education.
# Sweep date: 2026-08-15. All URLs verified HTTP 200 at sweep time (curl w/ Chrome UA; browser for bot-blocked where noted).
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES
# Excluded per scope: VA Aid & Attendance, PCAFC, VA respite; and SNAP/TANF/WIC/LIHEAP/Medicaid/SSI/SSDI/EITC/Section 8.

# --- VETERAN SCHOLARSHIPS & EDUCATION (org-specific) ---
1. AMVETS Scholarships | AMVETS (American Veterans) | https://www.amvets.org/scholarships | Honorably discharged veterans AND their spouses/children; membership-based | Varies by award (several AMVETS scholarships for dependents) | Annual cycle / rolling (check per award) | National nonprofit | Multiple named scholarships incl. AMVETS National Scholarship. Apply online; requires AMVETS-affiliated eligibility.

2. AMVETS National Scholarship | AMVETS (American Veterans) | https://www.amvets.org/scholarships/national | Veterans and their dependents (spouses/children) | Varies ($1,000–$5,000 range by award year) | Annual (spring deadline, ~May) | National nonprofit | Flagship AMVETS award; verify current amount on application page.

3. VFW Voice of Democracy Audio-Essay Contest | Veterans of Foreign Wars (VFW) | https://www.vfw.org/community/outreach | U.S. high-school students (grades 9–12) — including military dependents | $1,000 national first place (total $50k+ awarded annually) | Annual deadline ~Oct 31 | National nonprofit | Audio essay on a patriotic theme; entry via local VFW post; scholarships fund college.

4. VFW Patriots Pen Youth Essay Contest | Veterans of Foreign Wars (VFW) | https://www.vfw.org/community/outreach | U.S. students grades 6–8 | $500 national first place (total $55k+ annually) | Annual deadline ~Oct 31 | National nonprofit | Written essay contest for middle-schoolers; money for education/college savings.

5. VFW Sport Clips Help a Hero Scholarship | VFW + Sport Clips | https://www.vfw.org/assistance/military-assistance-program | Active-duty, Guard, Reserve, and veterans in civilian transition (post-9/11 service preferred) | $5,000 scholarships (multiple awarded) | Annual deadline ~Oct 31 | National nonprofit (corporate partner) | Named for Sport Clips; assists service members/veterans pursuing education to improve civilian careers.

6. VFW Military Assistance Program (MAP) | Veterans of Foreign Wars (VFW) | https://www.vfw.org/assistance/military-assistance-program | Eligible veterans, active-duty, and dependents in financial hardship | Up to ~$1,500 emergency grant | Rolling (application via VFW service officer) | National nonprofit | Quick-turn emergency financial aid for rent, utilities, food, and other basic needs.

