# LONG-TAIL DISPLACED / DISLOCATED-WORKER ASSISTANCE
# Programs for people who recently lost their job / displaced workers.
# Swept 2026-08-15. Big federal (SNAP/TANF/WIC/LIHEAP/Medicaid/SSI/SSDI/EITC/Section 8/UI) EXCLUDED.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES
# Verification: URL = HTTP 200 at sweep time (curl w/ Chrome UA; browser for DOL WAF pages).

# --- FEDERAL (DOL / ETA) ---
WIOA Adult & Dislocated Worker Program | U.S. Dept. of Labor ETA | https://www.dol.gov/agencies/eta/wioa | Adults laid off / displaced & others who lost a job through no fault of their own; delivered via local American Job Centers | Pays for approved training (tuition, books, supplies, some support services: travel/childcare/clothing); amount varies by local workforce board | ROLLING (apply at local American Job Center / Workforce Development Board) | federal.gov | VERIFIED browser 200. The primary retraining gateway for displaced workers; income not required to be poor — job loss qualifies. |
National Dislocated Worker Grants (NDWG) | U.S. Dept. of Labor ETA | https://www.dol.gov/agencies/eta/dislocated-workers | Workers laid off in large-scale/mass layoffs, plant closures, or disaster-related job loss | Funds state/employer training + temporary wage subsidies + employment services for affected workers; amount varies by grant | ROLLING (grants awarded to states/employers on dislocations; individual enrolls via local workforce board) | federal.gov | VERIFIED browser 200. Employers/states can file for an NDWG after a mass layoff — first point of contact for group layoffs. |
Trade Adjustment Assistance (TAA) for Workers | U.S. Dept. of Labor ETA | https://www.dol.gov/agencies/eta/tradeact | Workers whose job loss was due to increased imports / offshoring / shifts in production; employer must file a certified TAA petition | Pays for job training + Trade Readjustment Allowance (TRA) income support up to 130 wks + job search & relocation allowances + HCTC for health insurance | ROLLING (petition must be filed; enroll via American Job Center) | federal.gov | WAF-BLOCKED (Access Denied to curl + headless browser even same-origin) but program is LIVE — listed on verified ETA Program Areas page https://www.dol.gov/agencies/eta/program-areas (browser 200). Re-verify manually before listing as live. |
Senior Community Service Employment Program (SCSEP) | U.S. Dept. of Labor ETA | https://www.dol.gov/agencies/eta/seniors | Ages 55+, unemployed, family income <=125% of federal poverty line; veterans/dependents prioritized | Part-time community-service training job (~20 hrs/wk) paid at federal/state/local min wage; bridge to unsubsidized work | ROLLING (apply via local American Job Center / Older Worker Program Finder) | federal.gov | VERIFIED browser 200. Strong for older displaced workers. |
ETA Program Areas / American Job Center system | U.S. Dept. of Labor ETA | https://www.dol.gov/agencies/eta/program-areas | Anyone unemployed/displaced; door into all DOL dislocated-worker services | Free; locates your nearest American Job Center for training, reemployment services, TAA, SCSEP | ROLLING | federal.gov | VERIFIED browser 200. Index page listing Dislocated Workers, TAA, Layoffs & Rapid Response, WOTC. |
CareerOneStop — After a Layoff | U.S. Dept. of Labor ETA / CareerOneStop | https://www.careeronestop.org/HowTo/AfterALayoff/after-a-layoff.aspx | Anyone who lost a job | Free step-by-step guide to unemployment benefits, training, job-search, budgeting after layoff | ROLLING | federal.gov | VERIFIED curl 200. Official DOL clearinghouse. |
CareerOneStop — Find Training | U.S. Dept. of Labor ETA / CareerOneStop | https://www.careeronestop.org/FindTraining/find-training.aspx | Anyone unemployed wanting retraining | Free; searchable database of training, apprenticeships, financial aid | ROLLING | federal.gov | VERIFIED curl 200. |
CareerOneStop — Employment & Training local help | U.S. Dept. of Labor ETA / CareerOneStop | https://www.careeronestop.org/LocalHelp/EmploymentAndTraining/employment-and-training.aspx | Anyone; locates local workforce/training services | Free; find local training & employment services by ZIP | ROLLING | federal.gov | VERIFIED curl 200. |
CareerOneStop — Unemployment Benefits | U.S. Dept. of Labor ETA / CareerOneStop | https://www.careeronestop.org/LocalHelp/UnemploymentBenefits/unemployment-benefits.aspx | Recently unemployed workers | Free; state-by-state unemployment insurance filing info + reemployment services | ROLLING | federal.gov | VERIFIED curl 200. |
Registered Apprenticeship | U.S. Dept. of Labor (Apprenticeship.gov) | https://www.apprenticeship.gov/employers/registered-apprenticeship-program | Adults of any age seeking paid, structured training in a skilled trade/occupation | Paid on-the-job training (earn while you learn) + progressive wages + nationally-recognized credential; no cost to apprentice | ROLLING (search Apprenticeship Finder) | federal.gov | VERIFIED curl 200. Strong retraining path for displaced workers into trades. |

# --- STATE COMMUNITY-COLLEGE RETRAINING / TUITION ---
Michigan Reconnect | State of Michigan | https://www.michigan.gov/reconnect | MI residents ages 21+, no college degree | Pays in-district community college tuition (last-dollar) for associate degree or skilled-trades certificate | ROLLING | state.gov | VERIFIED curl 200. Adults retraining after job loss. |
Tennessee Reconnect | State of Tennessee | https://www.tnreconnect.gov/ | TN adults ages 23+, no associate/bachelor's degree | Last-dollar tuition to TN community/technical colleges | ROLLING | state.gov | VERIFIED curl 200. Adult retraining pathway. |
Indiana Next Level Jobs — Workforce Ready Grant | State of Indiana (Learn More Indiana) | https://www.in.gov/learnmoreindiana/next-level-jobs/ | IN residents 18+, no college degree | Pays tuition for high-demand credentials (certificates) at eligible IN programs | ROLLING | state.gov | VERIFIED curl 200. For jobseekers/unemployed retraining into in-demand fields. |
Ohio TechCred | State of Ohio | https://techcred.ohio.gov/ | OH residents; employer submits on worker's behalf (workers affected by displacement encouraged) | Reimburses cost of short-term, industry-recognized credentials (up to $2,000 per credential per employee) | ROLLING (recurring application rounds) | state.gov | VERIFIED curl 200. Employer-driven; ideal when rehiring/retraining after layoffs. |
Ohio Individual Microcredential Assistance Program (IMAP) | Ohio Dept. of Higher Education / OhioMeansJobs | https://www.ohiomeansjobs.com/IMAP | OH residents unemployed/underemployed, income <=200% FPL | Fully-paid short-term microcredentials (noncredit, in-demand fields) | ROLLING | state.gov | VERIFIED curl 200. Direct retraining for displaced workers. |
Kentucky Work Ready Kentucky Scholarship | Kentucky Higher Education Assistance Authority (KHEAA) | https://www.kheaa.com/website/kheaa/workready | KY adults in eligible in-demand programs, no prior degree for those programs | Last-dollar tuition for in-demand workforce programs at KY colleges | ROLLING | state.gov | VERIFIED curl 200. Adult retraining. |
California Employment Training Panel (ETP) | State of California (EDD) | https://etp.ca.gov/ | CA workers; employer-based training grants with displaced-worker/laid-off priority | State pays for job training delivered through employers (displaced & at-risk worker training priority) | ROLLING (employer applies; worker benefits from training at no cost) | state.gov | VERIFIED curl 200. Large, mature training-funding engine. |
Colorado Opportunity Scholarship Initiative (COSI) | Colorado Dept. of Higher Education | https://cdhe.colorado.gov/cosi | CO students with financial need attending CO institutions (incl. adults retraining) | Scholarships + retention & wraparound support services (amount varies) | ROLLING (annual application) | state.gov | VERIFIED curl 200. |
Colorado Community College System — From Classroom to Career | Colorado Community College System | https://cccs.edu/from-classroom-to-career/ | CO adults seeking career training / retraining at CO community colleges | Tuition + career-pathway programs across CO's 13 community colleges & system | ROLLING | state.gov | VERIFIED curl 200. Home of CO Career Advance tuition-free program partnerships. |
Colorado Dept. of Labor & Employment (state workforce board) | State of Colorado | https://cdle.colorado.gov/ | CO displaced/unemployed workers | Free; state WIOA/dislocated-worker services, Rapid Response, career centers | ROLLING | state.gov | VERIFIED curl 200. |
Connecting Colorado (CO job portal) | State of Colorado (CDLE) | https://www.connectingcolorado.com/ | CO jobseekers | Free job matching + connects to workforce services | ROLLING | state.gov | VERIFIED curl 200. |
Colorado Dept. of Higher Education | State of Colorado | https://cdhe.colorado.gov/ | CO residents pursuing higher ed / retraining | Scholarships, financial-aid info, state tuition programs | ROLLING | state.gov | VERIFIED curl 200. |

# --- STATE WORKFORCE BOARDS / REEMPLOYMENT ---
WorkSource Oregon | State of Oregon | https://www.worksourceoregon.org/ | OR unemployed/displaced workers | Free; job-search, training, WIOA dislocated-worker funds, career coaching | ROLLING | state.gov | VERIFIED curl 200. |
CareerForce Minnesota | State of Minnesota | https://www.careerforcemn.com/ | MN jobseekers/unemployed | Free; job search, training, dislocated-worker services | ROLLING | state.gov | VERIFIED curl 200. |
PA CareerLink | Commonwealth of Pennsylvania | https://www.pacareerlink.pa.gov/ | PA jobseekers | Free; training funds, career services, reemployment | ROLLING | state.gov | VERIFIED curl 200. |
New York State Dept. of Labor | State of New York | https://dol.ny.gov/ | NY unemployed/displaced | Free; UI + reemployment, training, Rapid Response for layoffs | ROLLING | state.gov | VERIFIED curl 200. |
Washington Employment Security Department | State of Washington | https://esd.wa.gov/ | WA jobseekers | Free; UI, reemployment services, training assistance (incl. Workers Retraining) | ROLLING | state.gov | VERIFIED curl 200. |
New Jersey Dept. of Labor & Workforce Development | State of New Jersey | https://www.nj.gov/labor/ | NJ unemployed/displaced | Free; WIOA dislocated-worker training, reemployment, career services | ROLLING | state.gov | VERIFIED curl 200. |
Michigan LEO — Workforce Development | State of Michigan | https://www.michigan.gov/leo/bureaus-agencies/wd | MI jobseekers | Free; workforce programs, training, dislocated-worker services | ROLLING | state.gov | VERIFIED curl 200. |
Wisconsin Dept. of Workforce Development | State of Wisconsin | https://www.dwd.wisconsin.gov/ | WI jobseekers | Free; job services, training, reemployment (WiServes/WI Fast Forward) | ROLLING | state.gov | VERIFIED curl 200. |
Arkansas Division of Workforce Services | State of Arkansas | https://www.workforce.arkansas.gov/ | AR jobseekers | Free; workforce centers, WIOA training, reemployment | ROLLING | state.gov | VERIFIED curl 200. |

# --- COUNTY / LOCAL ---
