Farmer Veteran Coalition | Farmer Veteran Coalition | https://farmvetco.org/ | US military veterans & families pursuing farming | Varies (grants & resources) | Rolling | national nonprofit | Dedicated to helping veterans farm; grants, equipment, resources
FVC Fellowship Fund | Farmer Veteran Coalition | https://www.farmvetco.org/fellowship-fund/ | Veteran farmers/ranchers with business plan | Grants up to $25,000 | Annual (spring application) | national nonprofit | Competitive business development grants for vets
Farm Rescue | Farm Rescue | https://www.farmrescue.org/ | Farm families affected by major injury, illness, or natural disaster | In-kind machinery & labor (no cash) | Rolling | national nonprofit | Volunteer equipment/help at planting & harvest after crisis
National Young Farmers Coalition | National Young Farmers Coalition | https://www.youngfarmers.org/ | Young & beginning farmers and ranchers | Member resources & program support | Rolling | national nonprofit | Advocacy + training; many state chapters
Federation of Southern Cooperatives | Federation of Southern Cooperatives/Land Assistance Fund | https://federation.coop/ | Minority & limited-resource farmers in the South | Training, loans & technical assistance | Rolling | national nonprofit | Rural co-op and farm development for Black & minority farmers
American Farmland Trust | American Farmland Trust | https://farmland.org/ | Beginning & retiring farmers seeking land access | Land access help & farm succession services | Rolling | national nonprofit | Farmland protection, beginning farmer land access programs
AgriSafe Network | AgriSafe Network | https://www.agrisafe.org/ | Farmers, ranchers, and ag workers nationwide | Free mental health & safety resources | Rolling | national nonprofit | Farm worker health/safety including mental health support
Minnesota Beginning Farmer Tax Credit | Minnesota Department of Agriculture | https://www.mda.state.mn.us/beginning-farmer-tax-credit | Beginning farmers in MN; landlords renting to beginning farmers | Income tax credit | Annual (rolling filings) | local-state gov | State tax credit to encourage land access
HEAL Food Alliance | HEAL Food Alliance | https://healfoodalliance.org/ | BIPOC & family farmers, food workers | Coalition resources & support | Rolling | national nonprofit | Racial/economic justice in food & farming
NCAT | National Center for Appropriate Technology | https://www.ncat.org/ | Farmers & ranchers seeking sustainable ag info | Free technical assistance & helpline | Rolling | national nonprofit | Free farmer helpline & sustainable agriculture resources
Rodale Institute | Rodale Institute | https://rodaleinstitute.org/ | Organic & transitioning farmers | Training & technical support | Rolling | national nonprofit | Organic farming research and farmer services
Michigan State University Farm Stress | Michigan State University Extension | https://www.canr.msu.edu/farm_stress/ | Michigan farmers & farm families | Free stress & mental health resources | Rolling | local-state gov | State extension farm stress support program
Cornell Small Farms Program | Cornell University | https://smallfarms.cornell.edu/ | NY beginning & small farmers | Free training, courses & technical support | Rolling | local-state gov | NY land-grant small farm training & resources
Ohio State Farm Stress | Ohio State University Extension | https://u.osu.edu/farmstress/ | Ohio farmers & farm families | Free mental health & crisis resources | Rolling | local-state gov | Farm stress reduction program and helpline info
Land Stewardship Project | Land Stewardship Project | https://landstewardshipproject.org/what-we-do/ | Family farmers (esp. MN/WI) | Farmer training & organizing | Rolling | national nonprofit | Farm advocacy, beginning farmer training
National Wheat Foundation | National Wheat Foundation | https://www.wheatfoundation.org/ | Ag students & wheat producers | Scholarships & ag education support | Rolling | national nonprofit | Wheat industry scholarships for farm families
Ohio Farm Bureau | Ohio Farm Bureau Federation | https://ofbf.org/ | Ohio Farm Bureau members (farm families) | Member grants & scholarships | Rolling | national nonprofit | State farm bureau member benefits & scholarships
Vermont Farm to Plate | Vermont Agency of Agriculture | https://www.vtfarmtoplate.com/ | Vermont farmers & food businesses | Program & network support | Rolling | local-state gov | State farm-to-plate network and assistance
NY Beginning Farmers | New York State Department of Agriculture | https://agriculture.ny.gov/farming/beginning-farmers | NY beginning & retiring farmers | Land access & program info | Rolling | local-state gov | NY state resources for beginning farmers
South Dakota Beginning Farmer Tax Credit | South Dakota Dept of Ag & Natural Resources | https://sdda.sd.gov/beginning-farmer-tax-credit/ | SD beginning farmers; landlords renting to beginning farmers | State income tax credit | Annual | local-state gov | State beginning farmer tax credit
North Dakota Dept of Agriculture | North Dakota Department of Agriculture | https://www.nd.gov/ndda/ | ND farmers & ranchers | Beginning farmer program & services | Rolling | local-state gov | ND state ag programs incl. beginning farmer credit
Nebraska Dept of Agriculture | Nebraska Department of Agriculture | https://nda.nebraska.gov/ | NE beginning farmers & ranchers | Beginning farmer tax credit & programs | Rolling | local-state gov | NE state beginning farmer & ag assistance
Texas Dept of Agriculture | Texas Department of Agriculture | https://texasagriculture.gov/ | TX farmers & ranchers (incl. beginning) | Various state ag programs | Rolling | local-state gov | TX state ag programs & beginning farmer/rancher resources
Michigan MDARD | Michigan Department of Agriculture & Rural Dev | https://www.michigan.gov/mdard | MI farmers & farm businesses | State ag grants & programs | Rolling | local-state gov | MI state agriculture programs
Washington State Dept of Ag | Washington State Department of Agriculture | https://agr.wa.gov/ | WA farmers & ranchers | State ag programs & assistance | Rolling | local-state gov | WA state ag programs
Iowa Dept of Agriculture | Iowa Department of Agriculture & Land Stewardship | https://iowaagriculture.gov/ | IA farmers (incl. beginning) | State ag programs & beginning farmer credit | Rolling | local-state gov | IA state agriculture & beginning farmer resources
