# Shinnslist Long-Tail Research: Assistance for SINGLE FATHERS (+ general single-parent programs serving dads)
# Sweep date: 2026-08-15. All URLs verified HTTP 200 at sweep time. Excludes big federal programs (SNAP/TANF/LIHEAP/SSI).
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | DAD_SPECIFIC_OR_GENERAL | ONE-LINE_NOTES

National Responsible Fatherhood Clearinghouse (NRFC) - Program Map & Call Center | U.S. HHS / NRFC | https://fatherhood.gov/ | Dads (custodial & non-custodial) seeking local responsible-fatherhood programs; also practitioners | Varies by local program (referral/coaching) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | Clearinghouse links to state/local dad programs; national call center 1-877-4DAD411 for dads.

National Fatherhood Initiative | National Fatherhood Initiative | https://fatherhood.org/ | Fathers, fatherhood organizations, and family-service agencies | Free resources, toolkits, program curriculum (indirect) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | Leading nonpartisan dad-focused org; offers fatherhood program curricula and community support.

National Center for Fathering | National Center for Fathering | https://fathers.com/ | Fathers of all backgrounds | Free resources, courses, workshops (indirect) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | 500+ articles, courses, and train-the-trainer on engaged fathering.

Project Fatherhood | Children's Institute, Inc. (Los Angeles) | https://www.childrensinstitute.org/project-fatherhood/ | Fathers, stepfathers, foster fathers, and father-figures in LA County | Free support groups + individual/family counseling (in-kind) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | 60+ years; 15,000+ dads and 23,000 kids served; groups incl. Men in Relationships (MIRG).

The Father's UpLift | The Father's UpLift | https://www.fathersuplift.org/ | Dads, esp. those with mental-health/substance issues, reentry, and low income | Therapy, reentry support, workforce development (services) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | First mental-health/substance treatment center for fathers; offices in Boston & Cincinnati; also trains fatherhood providers.

Operation Fatherhood | Volunteers of America (national) | https://www.operationfatherhood.org/ | Fathers and families served by VOA chapters | Family support, fatherhood programs (in-kind) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | VOA-run fatherhood engagement programs across local chapters.

Fathers and Families Coalition of America | Fathers and Families Coalition of America | https://www.fathersandfamiliescoalition.org/ | Fathers, fatherhood organizations, family advocates | Advocacy, resources, network (indirect) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | National coalition supporting fatherhood programs and family policy.

The Fatherhood Project | The Fatherhood Project | https://www.fatherhoodproject.org/ | Fathers (esp. non-custodial) and families | Programs, resources, counseling (in-kind) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | Community-based fatherhood support org.

Fatherhood Friday | Fatherhood Friday | https://www.fatherhoodfriday.com/ | Fathers and families | Community events, resources (indirect) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | Positive fatherhood celebration/awareness network.

DadsMatter | DadsMatter | https://www.dadsmatter.org/ | Fathers and families | Resources and support (indirect) | Rolling | Fatherhood nonprofit | DAD_SPECIFIC | Fatherhood awareness and engagement resource site.

Family Scholar House | Family Scholar House (Louisville, KY) | https://familyscholarhouse.org/ | Single parents (moms AND dads) pursuing post-secondary degree or apprenticeship | Scholarship support + affordable housing + supportive services (value varies) | Rolling (enroll in program) | General single-parent nonprofit | GENERAL | Serves both single mothers and fathers; 5 residential campuses, 247 student-parent families in Louisville metro.

Single Parent Scholarship Fund of Northwest Arkansas (SPSFNWA) | Single Parent Scholarship Fund of Northwest Arkansas | https://www.singleparentscholarship.org/ | Single parents (moms and dads) in NW Arkansas pursuing education | Scholarship (varies; need-based, includes advocacy) | Annual (application windows; contact) | General single-parent scholarship | GENERAL | Non-discrimination policy; open to male and female single parents.

Garner Foundation | Garner Foundation | https://www.garnerfoundation.org/ | Single parents and families in need | Scholarships and assistance (varies) | Rolling | General single-parent nonprofit | GENERAL | Supports single parents with education and family needs.

