settlement,payout,deadline,deadline_iso,no_proof_needed,claim_url,description
Lincoln University - COVID Tuition,Varies,Varies,,YES,https://lincolncovidsettlement.com/,"If you were a student enrolled at Lincoln University for the Spring 2020 semester, did not withdraw by March 12, 2020 and were not fully refunded for tuition or"
Domestic Flight Antitrust,Varies,Varies,,YES,https://domesticairclass.com/,"This settlement covers those who bought domestic airline tickets from Delta, Southwest, United, Continental, or US Airways between July 1, 2011 and December 201"
NIBCO,Varies,Varies,,NO,http://www.pexsystemsettlement.com/,"If you own or owned a building (commercial or residential) containing NIBCO's Pex tubing, fittings or clamps anytime after January 1, 2005, you may be able to c"
Zonolite Vermiculite Attic Insulation,Varies,Varies,,NO,https://www.zonoliteatticinsulation.com/Hm1.aspx,"If Zonolite attic insulation was installed in a structure that you own(ed) or rent(ed) and you had to pay any costs related to its removal, you may be able to c"
Ford - PowerShift Transmissions,Varies,Varies,,NO,http://fordtransmissionsettlement.com/,This settlement covers current and former 2011-2016 Fiesta and 2012-2016 Focus owners and lessees who had issues with their PowerShift transmissions.
My Little Steamer,Varies,Varies,,NO,https://www.steamerrecallsettlement.com/,"This settlement aims to cover anyone who purchased a Joy/JM-branded My Little Steamer between January 1, 2002 and December 31, 2020."
Nissan - CVT Transmissions,"Up to $5,000",Varies,,NO,http://www.roguepathfinderqx60cvtsettlement.com/,"You may be included in this settlement if you owned or leased a 2014-2018 Rogue, 2015-2018 Pathfinder or a 2015-2018 Infiniti QX60."
Theranos Blood Testing Services,$10+,Varies,,YES,https://www.theranoslawsuit.com/,"If you paid for Theranos blood testing services out-of-pocket, through health insurance, or through any other source between November 2013 and June 2016, you ma"
Boohoo - Advertised Sales,$10 Gift Card,Varies,,YES,http://www.boohoonationwidepricingsettlement.com/,"You may be included in this settlement if you bought products from Boohoo, BoohooMAN, PrettyLittleThing or Nasty Gal outside of California between April 1, 2016"
CertainTeed Organic Shingles,Varies,Varies,,NO,http://www.certainteedshinglesettlement.com/index.cfm,"Class members are defined as owners of buildings with CertainTeed Organic Shingles manufactured after July 1, 1987. The settlement provides compensation for the"
Kia - Engine Failure,Varies,Varies,,NO,https://kiaengineclasssettlement.com/,Drivers who bought or leased certain 2010–2020 Kia vehicles may be covered by this settlement.
Branford Manor,"Up to $6,000",Varies,,YES,https://www.branfordmanorsettlement.com/,"You may be included in this settlement if you were listed on the rental forms at Branford Manor at some point between November 23, 2019 and November 22, 2022."
Sanyo Energy - Solar Panels,Varies,Varies,,NO,https://www.sanyosolarclaims.com/,You may be covered by this settlement if you bought solar panels from Sanyo or if you bought a residence or building with the panels already installed.
GM - Fuel Pumps,Varies,Varies,,NO,https://www.gmfuelpumplitigation.com/,"You may be covered by this settlement if you bought a 2011-2016 Duramax diesel Chevrolet Silverado or GMC Sierra from a GM-authorized dealer in California, Flor"
St. Stephen’s Cemetery (Kentucky),Varies,Varies,,NO,https://kycemeterysettlement.com/,You may be included in this settlement if you bought or are the next of kin or the surviving spouse of a person who purchased a burial plot or services from St.
Ram Trucks - Anti-Lock Braking System,Varies,Varies,,NO,https://fcarambrakesettlement.com/,"This settlement covers current owners or lessees of certain 2017-2018 Ram 2500, 3500, 4500 and 5500 models built between April 1, 2017 and December 29, 2018."
Huuuge Casino - Mobile Games,Varies,Varies,,YES,https://huuugesettlement.com/home,"If you made a purchase through Huuuge Casino or Billionaire Casino on or before January 23, 2025, you may be covered by this settlement."
Dodge Grand Caravan - Sliding Doors,Varies,Varies,,NO,https://www.dodgeslidingdoorlatchsettlement.com/,"You may be included in this settlement if you bought or leased a 2017-2018 Dodge Grand Caravan built between January 1, 2017 and December 31, 2017."
NYC Taxi and Limousine Commission,Varies,Varies,,YES,https://www.tlcsuspensionclaims.com/,If you were a taxi or for-hire vehicle driver whose license was suspended by the NYC Taxi and Limousine Commission based on having been arrested on a criminal c
Kaiser Permanente - Out-of-Network Claims (California),Varies,Varies,,NO,https://www.outofnetworkhealthclaims.com/home,You may be included in this settlement if you were a Kaiser Permanente member and paid for out-of-network mental health/substance use disorder care because you 
Washington Nationals - Discount Tickets,$18+,Varies,,YES,https://natsdiscountticketsettlement.com/,You may be included in this settlement if you bought a Washington Nationals ticket in the 2023 or 2024 season and were not eligible for the “Millennial” or “You
Nationstar Mortgage (Florida),Up to $300,8/15/26,2026-08-15,YES,https://floridanationstarlawsuit.com/,"This settlement covers Florida residents whose mortgage contracts have been serviced by Nationstar from May 29, 2013 through July 24, 2025 where Nationstar coll"
Oak View Group - Data Breach,"$50 - $5,000",8/15/26,2026-08-15,YES,https://oakviewgroupdatasettlement.com/,This settlement covers those whose personal information was compromised in the November 2023 Oak View Group data breach.
Duke University Health System - Data Privacy,Varies,8/16/26,2026-08-16,YES,https://duhssettlement.com/,"You may be able to claim a piece of this settlement if you logged into the Duke MyChart patient portal or MyDuke Health mobile app between February 18, 2019 and"
EMM Loans - Data Breach,"$50 - $4,000",8/17/26,2026-08-17,YES,https://emmloansdatasettlement.com/,You may be included in this settlement if your private information was exposed in the February 2024 EMM Loans data breach.
Bradford Health - Data Breach,"$150 - $5,000",8/17/26,2026-08-17,YES,https://bradforddisputesettlement.com/,You may be included in this settlement if your personal information was exposed in the November 2023 Bradford Health data breach.
Alta Resources Corp - Data Breach,"$50 - $2,000",8/17/26,2026-08-17,YES,https://altaresourcessettlement.com/,You may be included in this settlement if you were notified that your private information was potentially compromised in the November 2023 Alta Resources Corp. 
"Riley, Pope & Laney - Data Breach","$60 - $2,500",8/17/26,2026-08-17,YES,https://rpldatasettlement.com/,"If your private information was compromised in the August 2024 Riley, Pope & Laney data breach, you may be covered by this settlement."
AVI-SPL - Job Postings (Washington),Varies,8/17/26,2026-08-17,YES,https://avi-spl-settlement.com/,"You may be included in this settlement if you applied for a job opening with AVI-SPL in Washington between January 1, 2023, and May 5, 2026."
GeoLogics Corporation - Data Breach,"$50 - $2,500",8/17/26,2026-08-17,YES,https://geologicscorpdatasettlement.com/,You may be able to claim a piece of this settlement if your private information was compromised in the December 2023 GeoLogics Corporation data breach.
