# Shinnslist Long-Tail Research: Local news / city-county / 211 programs (community-level assistance).
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES
The Action Center Emergency Assistance | The Action Center (Jefferson County, CO) | https://www.theactioncenter.org/find-assistance-action-center | Jefferson County CO residents facing housing crisis | Rent/mortgage, security deposit, utility bill help, food, clothing | Rolling | local/state gov | County hub (Lakewood); also does Xcel energy and PEAK (Medicaid/HEAP) application help; call for intake
The Action Center Xcel Energy Assistance | The Action Center (Jefferson County, CO) | https://www.theactioncenter.org/xcel-energy-assistance | Jefferson County CO residents with Xcel bill arrearage | Utility bill payment help (Xcel gas/electric) | Rolling | local/state gov | Energy-crisis one-time payment help; intake by phone
The Action Center PEAK Application Help | The Action Center (Jefferson County, CO) | https://www.theactioncenter.org/peak-application-help | Jefferson County CO residents | Free one-on-one help applying for SNAP/Medicaid/LEAP via Colorado PEAK | Rolling | local/state gov | Navigator site; not the benefit itself but free signup help
EFAA Financial Assistance | Emergency Family Assistance Association (Boulder County, CO) | https://efaa.org/get-help/financial-assistance/ | Low-income Boulder County families | Rent, mortgage, utility, and other basic-needs bill payments | Rolling | national nonprofit | Boulder county's largest private emergency-assistance org; appointment-based intake
EFAA Family Housing | Emergency Family Assistance Association (Boulder County, CO) | https://efaa.org/get-help/family-housing/ | Low-income families in Boulder County at risk of homelessness | Rental/deposit/eviction-prevention help + transitional housing | Rolling | national nonprofit | Case-managed housing stability; phone intake
EFAA Food Bank | EFAA (Boulder County, CO) | https://efaa.org/get-help/food-bank/ | Boulder County residents in need | Free groceries / food pantry | Rolling | national nonprofit | Walk-in food bank in Boulder
Metro Caring Fresh Foods Market | Metro Caring (Denver, CO) | https://metrocaring.org/food-access/ | Denver metro residents in need | Free groceries via member-choice food market | Rolling | national nonprofit | Denver's largest food pantry; also offers ID vouchers and resource navigation
Jewish Family Service of Colorado Emergency Assistance | JFS of Colorado (Denver metro) | https://www.jewishfamilyservice.org/services/emergency-assistance-program | Denver metro residents in financial crisis (any background) | Emergency cash for rent, utilities, food, medical needs | Rolling | faith/church | Denver-area JFS; call or visit intake; also runs community food pantry
JFS Colorado Food Pantry | Jewish Family Service of Colorado | https://www.jewishfamilyservice.org/services/denver-food-pantry | Denver metro households in need | Free kosher/community groceries | Rolling | faith/church | Denver pantry; non-kosher items also available to general public
Catholic Charities of Denver Emergency Services | Catholic Charities Archdiocese of Denver | https://ccdenver.org/emergency-services/ | Denver metro residents in crisis | Rent, utility, food, and emergency cash assistance | Rolling | faith/church | Multiple Denver metro locations; intake centers
St. Vincent de Paul Denver Financial Assistance | St. Vincent de Paul Society Denver Council | https://www.svdpdenver.org/ | Denver metro residents facing financial hardship | Rent, utility, food, and other emergency aid via conference system | Rolling | faith/church | Home-visit conferences assess needs; call for local conference
Denver Rescue Mission Get Help | Denver Rescue Mission | https://www.denverrescuemission.org/get-help/ | Individuals/families in need in Denver metro | Emergency services, food, shelter, hygiene, case management | Rolling | faith/church | Long-running Denver charity; entry point for all its programs
Colorado Coalition for the Homeless Housing Navigation | Colorado Coalition for the Homeless | https://www.coloradocoalition.org/housing-resource-navigation | People experiencing or at risk of homelessness in CO | Housing navigation, rental assistance, referral to shelter/services | Rolling | national nonprofit | Large Denver-based org; also runs health clinics and veteran services
Brothers Redevelopment Home Modification & Repair | Brothers Redevelopment, Inc. (Denver metro) | https://brothersredevelopment.org/senior-services/ | Seniors (60+) and people with disabilities in Denver metro | Free/low-cost critical home repairs, accessibility mods, weatherization | Rolling | national nonprofit | Nonprofit home-repair program; eligibility based on age/income
Brothers Redevelopment Paint-A-Thon | Brothers Redevelopment, Inc. (Denver metro) | https://brothersredevelopment.org/paint-a-thon/ | Low-income seniors and people with disabilities | Free exterior home painting, minor repairs, landscaping | Rolling (annual event) | national nonprofit | Landmark program; online homeowner application
Denver Foundation Reisher Scholars Program | The Denver Foundation | https://denverfoundation.org/scholarships/reisher/ | Colorado college undergraduates (state schools), financial need, 3.0+ GPA | Need-based scholarships (varies, multi-year) | Annual (deadline in spring) | community foundation | Premier CO undergraduate scholarship; apply via TDF Scholarship Manager
Denver Foundation Scholarship Opportunities | The Denver Foundation | https://denverfoundation.org/scholarships/scholarship-opportunities/ | Various (Colorado students, dependents, specific communities) | Dozens of named need/merit scholarships | Annual per fund | community foundation | Portal lists many individual scholarships incl. Cameron Holland, Brayman Beach, Columbine Memorial
Denver Foundation Cameron Holland Scholarship | The Denver Foundation | https://denverfoundation.org/scholarship/cameron-holland-scholarship-fund/ | Graduating seniors or college students in CO | Renewable need-based scholarship | Annual | community foundation | Example of TDF managed scholarship; apply through Scholarship Manager
Denver Scholarship Foundation (DSF) | Denver Scholarship Foundation | https://denverscholarship.org/students-alumni/dsf-scholarship/ | Denver Public Schools graduates pursuing higher ed | Scholarship + advising for college/career school | Rolling/annual | community foundation | Denver-specific; DPS grad requirement; need-based
Mile High United Way Get Help / 211 | Mile High United Way (Denver) | https://unitedwaydenver.org/get-help/ | Denver metro residents | Free resource navigation to rent, utility, food, benefit programs; 2-1-1 | Rolling | 211 | Connects callers to United Way 2-1-1 Colorado and partner services
City of Denver Rent and Utility Help | City & County of Denver, Dept. of Housing Stability | https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Housing-Stability/Resident-Resources/Rent-and-Utility-Help | Denver residents facing rent/utility hardship | Eviction-prevention rental + utility assistance (city-funded programs) | Rolling (while funds last) | local/state gov | Official city portal listing active rent/utility aid and MyFriendBen screening tool
City of Denver Eviction Help | City & County of Denver Dept. of Housing Stability | https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Housing-Stability/Resident-Resources/Eviction-Help | Denver residents facing eviction | Free eviction defense/legal aid + rental assistance referrals | Rolling | local/state gov | Lists Denver eviction legal-help providers and relief resources
VOA Colorado Handyman Services (Denver Metro) | Volunteers of America Colorado | https://www.voacolorado.org/services/handyman-services-denver-metro/ | Denver metro seniors and disabled adults | Low-cost home repairs/maintenance for aging in place | Rolling | national nonprofit | Regional VOA chapter; also runs veteran services center and senior housing
VOA Colorado Veteran Services Center | Volunteers of America Colorado | https://www.voacolorado.org/locations/veteran-services-center/ | Veterans in Colorado | Housing, employment, benefits navigation, supportive services | Rolling | national nonprofit | Denver-based veteran resource hub
Urban Peak Find Help Now | Urban Peak (Denver, CO) | https://www.urbanpeak.org/find-help-now | Youth/young adults (15-24) experiencing homelessness in Denver | Shelter, drop-in, outreach, case management, housing | Rolling | national nonprofit | Denver's youth-homelessness provider; 24/7 crisis line
The Delores Project Programs | The Delores Project (Denver, CO) | https://www.thedeloresproject.org/programs | Women (incl. trans women) experiencing homelessness in Denver | Shelter, supportive/rehousing services, meals | Rolling | national nonprofit | Denver org serving women; includes 24/7 shelter
Boulder County Burial Assistance | Boulder County, CO | https://bouldercounty.gov/families/financial/burial-assistance/ | Low-income Boulder County residents (families of deceased) | Burial/cremation cost assistance | Rolling | local/state gov | County-funded; apply via Boulder County Housing & Human Services
Boulder County Child Care Assistance Program | Boulder County, CO | https://bouldercounty.gov/families/financial/child-care-assistance-program/ | Low-income working families in Boulder County | Subsidized child care payments | Rolling | local/state gov | County-administered child care subsidy (local complement to state program)
Solid Ground Rental Assistance (Seattle) | Solid Ground (Seattle, WA) | https://www.solidground.org/what-we-do/rental-assistance/ | Low-income renters in Seattle/King County WA | Rental assistance, eviction prevention, security deposits | Rolling | national nonprofit | Leading Seattle antipoverty org; phone intake
United Way of King County | United Way of King County (Seattle, WA) | https://www.uwkc.org/ | King County WA residents | Benefit screening, 2-1-1 referrals, rent/food/housing program links | Rolling | 211 | Regional United Way runs 2-1-1 for King County
United Way of Southern California | United Way of Greater Los Angeles / SoCal | https://www.uwsc.org/ | Southern California residents | 2-1-1 LA referrals to rent, utility, food, and benefit help | Rolling | 211 | Runs 2-1-1 LA; county resource line
211 LA | 2-1-1 Los Angeles County | https://211la.org/ | LA County residents | Free referrals to food, rent, utility, housing, health services | Rolling | 211 | Official 2-1-1 LA County resource database and hotline
211 North Texas | 2-1-1 North Texas (United Way) | https://www.211northtexas.org/ | North Texas (DFW) residents | Free referrals to assistance programs (rent, food, utilities, health) | Rolling | 211 | 28-county DFW helpline/resource database
Food Bank of the Rockies | Food Bank of the Rockies (Denver, CO) | https://www.foodbankrockies.org/ | CO + WY residents in need | Free food via partner pantries/feeding programs | Rolling | national nonprofit | Regional food bank; use site to find nearby pantry
