Baltimore Furniture Bank | Furniture Bank Network / 501c3 | https://baltimorefurniturebank.org/ | Low-income individuals & families, esp. transitioning from homelessness; referral required | in-kind donation (free beds/mattresses/furniture) | Rolling | national nonprofit | Baltimore MD metro; donation & intake via referral partners
Barnabas Network | Furniture Bank Network / 501c3 | https://www.thebarnabasnetwork.org/ | Families in Triad NC transitioning out of homelessness or living in poverty; referral required | in-kind donation (essential furniture) | Rolling | national nonprofit | Guilford & surrounding NC counties; beds/support for kids
Bridging AZ | Furniture Bank Network / 501c3 | https://www.bridgingaz.org/ | Individuals & families in Phoenix area transitioning out of homelessness; referral required | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Phoenix AZ; new-furniture warehouse model
CICIM Furniture Bank | Central Illinois Christians in Mission / faith | https://www.cicim.online/ | Low-income families in need in Bloomington-Normal IL | in-kind donation (furniture & appliances) | Rolling | faith/church | Bloomington-Normal IL; faith-based assistance ministry
Central MA Housing Alliance Clearinghouse | CMHA | http://www.cmhaonline.org/ | Households in need of furniture/household goods in Central MA, incl. formerly homeless | in-kind donation | Rolling | national nonprofit | Worcester MA metro; donation clearinghouse
Chicago Furniture Bank | Furniture Bank Network / 501c3 | http://www.chicagofurniturebank.org | Chicago residents transitioning out of homelessness or housing instability; referral required | in-kind donation (free furniture) | Rolling | national nonprofit | Chicago IL; new-furniture model for newly housed families
Cleveland Furniture Bank | Furniture Bank Network / 501c3 | http://clevelandfurniturebank.org/ | People transitioning from homelessness or escaping unsafe housing in NE Ohio; referral required | in-kind donation (free furniture) | Rolling | national nonprofit | Cleveland OH; serves ~families via housing-agency referrals
Community Warehouse | 501c3 | https://www.communitywarehouse.org/ | People transitioning out of homelessness in Portland metro; partner-agency referral | in-kind donation (furniture & essentials) | Rolling | national nonprofit | Portland OR; volunteer-run furniture bank
Crisis Assistance Ministry | 501c3 | https://crisisassistance.org/ | Families & individuals in financial crisis in Mecklenburg Co NC | free furniture & household goods; also utility/rent aid | Rolling | national nonprofit | Charlotte NC; Free Store for household/furniture items
Dallas Furniture Bank | Furniture Bank Network / 501c3 | http://www.dallasfurniturebank.org/ | Dallas-area families transitioning out of homelessness; referral required | in-kind donation (free furniture) | Rolling | national nonprofit | Dallas TX; serves families & veterans
Dwell with Dignity | 501c3 | http://www.dwellwithdignity.org/ | Families transitioning out of homelessness or poverty in Dallas; partner referral | in-kind donation (full home furnishings) | Rolling | national nonprofit | Dallas TX; volunteers style & furnish entire homes
Furniture Assist | Furniture Bank Network / 501c3 | http://furnitureassist.com/ | Families transitioning from homelessness to housing in San Antonio TX; referral required | in-kind donation (furniture & household goods) | Rolling | national nonprofit | San Antonio TX
Furniture Bank of Central Ohio | Furniture Bank Network / 501c3 | https://furniturebankcoh.org/ | Low-income & transitioning-out-of-homelessness families in central Ohio; referral required | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Columbus OH; also Kids Furniture Bank
Furniture Friends | 501c3 | https://furniturefriends.org/ | Low-income households in need of basic furniture in southern Maine | in-kind donation (free basic furniture) | Rolling | national nonprofit | Portland ME area; appointment-based
Furniture Sharehouse | 501c3 | http://www.furnituresharehouse.org/ | Families in need in lower Hudson Valley NY, esp. leaving shelter | in-kind donation (furniture & household items) | Rolling | national nonprofit | Yonkers NY; referral from agencies
Household Goods | 501c3 | https://householdgoods.org | People transitioning from homelessness or fleeing crisis in eastern MA; referral required | in-kind donation (furniture & household essentials) | Rolling | national nonprofit | Acton MA; serves 11 MA counties
Houston Furniture Bank | Furniture Bank Network / 501c3 | http://houstonfurniturebank.org/ | Individuals & families in need in greater Houston; referral required | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Houston TX; also beds-for-kids program
I Got You Reno | 501c3 | https://igotyoureno.org/ | Families in crisis in Reno-Sparks NV, incl. domestic-violence survivors & newly housed | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Reno NV; donation/volunteer driven
Idaho Furniture Project | Furniture Bank Network / 501c3 | http://idahofurniture.org | Families in need in Idaho transitioning into housing; referral required | in-kind donation (furniture) | Rolling | national nonprofit | Boise & across Idaho
MCC East Bay Furniture | Mennonite Central Committee / faith | http://mcceastbay.org/furniture | Low-income households in East Bay CA in need of furniture & appliances | in-kind donation (free furniture) | Rolling | faith/church | Oakland CA; also ESL & thrift programs
Mission of Deeds | 501c3 | http://www.missionofdeeds.org/ | People in need in NE MA, esp. transitioning from homelessness; referral required | in-kind donation (beds & furniture) | Rolling | faith/church | Reading MA; Christian charity
Mustard Seed of Central Indiana | Furniture Bank Network / 501c3 | http://mustardseedindy.org/ | Families in need in central Indiana transitioning to housing; referral required | in-kind donation (furniture) | Rolling | national nonprofit | Indianapolis IN
Mustard Seed of Central Florida | 501c3 | http://mustardseedfla.org/ | Families in need in central Florida | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Orlando area FL
New Life Furniture Bank | Furniture Bank Network / 501c3 | http://nlfurniture.org/ | Families transitioning out of homelessness in greater Cincinnati; referral required | in-kind donation (free furniture) | Rolling | national nonprofit | Cincinnati OH/N KY
NW Furniture Bank | Furniture Bank Network / 501c3 | http://www.nwfurniturebank.org/ | Pierce Co WA families in need, incl. newly housed veterans & families | in-kind donation (furniture) | Rolling | national nonprofit | Tacoma WA
Off the Floor Pittsburgh | 501c3 | http://offthefloorpgh.org/ | Families transitioning from homelessness to permanent housing in Pittsburgh; referral required | in-kind donation (free furniture) | Rolling | national nonprofit | Pittsburgh PA
Open Door Exchange | 501c3 | http://www.opendoorexchange.org/ | Families in need in Greater Boston transitioning into housing | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Boston MA
Pavilion of Hope | Furniture Bank Network / 501c3 | http://www.pavilionofhope.org/ | Families in need in mid-Missouri, esp. moving from shelter to housing | in-kind donation (furniture) | Rolling | national nonprofit | Columbia MO
Recycling Furniture for Families | 501c3 | http://rf4f.org/ | Low-income families & individuals in need in south-central Indiana | in-kind donation (furniture & appliances) | Rolling | national nonprofit | Bloomington IN
Sharing Connections | 501c3 | http://www.sharingconnections.org/ | Families transitioning from homelessness in Chicago SW suburbs & DuPage Co; referral required | in-kind donation (furniture) | Rolling | national nonprofit | Downers Grove IL
Sharehouse Tulsa | 501c3 | https://sharehousetulsa.net/ | Families in need in Tulsa OK, esp. leaving shelter or crisis | in-kind donation (furniture & household goods) | Rolling | national nonprofit | Tulsa OK
The Freestore | 501c3 | http://www.thefreestore.org/ | Low-income individuals & families in Des Moines IA, esp. newly housed | in-kind donation (free furniture & household goods) | Rolling | national nonprofit | Des Moines IA
The Furniture Project | 501c3 | http://www.thefurnitureproject.org | Families in need in Omaha NE transitioning into stable housing; referral required | in-kind donation (furniture) | Rolling | national nonprofit | Omaha NE
