# Shinnslist Long-Tail Research: Sports/Athletic + First-Gen + Funeral/Burial Assistance
# All URLs verified HTTP 200 via curl or browser unless noted (Aug 2026). 403 = site live but bot-WAF-walled (still real/current). NXDOMAIN = dead, flagged.
# Format: NAME | FUNDER/ORG | URL | WHO QUALIFIES | AMOUNT | DEADLINE_OR_ROLLING | SOURCE_TYPE | NOTES

# ================= BUCKET 1: SPORTS / ATHLETIC SCHOLARSHIPS & GRANTS =================
Evans Scholarship | Western Golf Association / Evans Scholars Foundation | https://www.wgaesf.org/ | HS seniors who caddie (20+ rounds, 2+ yrs typically), strong academics & financial need | Full tuition + housing (4-yr, renewable at 28 partner universities) | Application OPEN now (browser-verified Aug 2026); annual | foundation | Browser-verified LIVE; nation's largest caddie scholarship; apply via caddie program
Women's Sports Foundation - Travel & Training Fund | Women's Sports Foundation | https://www.womenssportsfoundation.org/ | U.S. women athletes age 18+ competing/aspiring at elite level | Up to ~$5,000-$10,000 toward travel/training/coaching | Annual grant cycle | nonprofit | For elite women athletes; also runs Tara VanDerveer Fund (women athletes + women coaches)
Challenged Athletes Foundation | Challenged Athletes Foundation (CAF) | https://www.challengedathletes.org/ | Individuals with physical disabilities seeking to participate in sports | Grants for adaptive equipment, prosthetics, training, competition travel | Rolling grant cycle | nonprofit | One of the largest adaptive-sport granters; equipment + event support
Kelly Brush Foundation | Kelly Brush Foundation | https://kellybrushfoundation.org/ | People with spinal cord injury / adaptive athletes | Adaptive sports equipment grants + sit-ski program | Rolling; annual application window | nonprofit | Equipment-first; also runs 100-Mile Challenge fundraiser events
USTA Foundation (NJTL scholarships) | USTA Foundation | https://www.ustafoundation.com/ | Tennis players in NJTL programs / high-school & college tennis students | Scholarships (multiple awards, varies) | Annual | nonprofit | Focus on youth tennis + education; several named scholarships
National Football Foundation Scholarships | National Football Foundation (NFF) | https://footballfoundation.org/ | HS & college football student-athletes w/ academics, character, leadership | Multiple awards incl. William V. Campbell Trophy (academic Heisman) | Annual; NFF chapter/local + national cycles | nonprofit | Chapter-based + national; strong on scholar-athletes
Anthony Muñoz Foundation | Anthony Muñoz Foundation | https://www.munozfoundation.org/ | Greater Cincinnati-area HS student-athletes & community youth | Scholarships + youth leadership programs | Annual | nonprofit | NFL HOFer-run; regional (OH/KY/IN)
Swim Across America | Swim Across America (SAA) | https://www.swimacrossamerica.org/ | U.S. swimmers w/ financial need (youth through HS) | Swimming scholarships (vary by chapter) | Annual; chapter-based | nonprofit | Also raises funds for cancer research; need-based swim scholarships
Sports Leaders of America | Leadership Skills Foundation | https://sportsleaders.org/ | High school juniors with volunteer sports-community service | College scholarship (varies) | Annual | nonprofit | For students giving back through sports volunteering
Wheelchair & Ambulatory Sports USA | Wheelchair & Ambulatory Sports USA (WASUSA) | https://www.wasusa.org/ | Adaptive/recreational athletes with physical disabilities | Sport grants + programming | Rolling | nonprofit | Wheelchair + ambulatory sport opportunities
Move United (formerly Disabled Sports USA) | Move United | https://www.disabledsportsusa.org/ | People with disabilities of all ages | Adaptive sports programs + grants | Rolling | nonprofit | National adaptive-sports network; note: domain serves Move United rebrand
